Residential Setting,Address,Staff Cases,Resident Cases,Deaths
Belmont Village Westwood,"10475 Wilshire Blvd, Los Angeles, CA, 90024",1,2,0
Belmont Village of Encino,"15451 Ventura Blvd, Sherman Oaks, CA, 91403",24,23,7
Belmont Village-Calabasas,"24141 Ventura Blvd, Calabasas, CA, 91302",0,2,0
Berkley Valley Convalescent Hospital,"6600 Sepulveda Blvd, Van Nuys, CA, 91411",15,6,1
Beverly Hills Carmel South,"8757 Burton Way, Los Angeles, CA, 90048",9,17,6
Beverly Hills Gardens Board and Care,,4,12,6
Beverly West Healthcare,"1020 S Fairfax Ave, Los Angeles, CA, 90019",35,53,16
Beverlywood Residential Facility,"1920 S Robertson Blvd, Los Angeles, CA, 90034",0,1,0
Bonnie Brae Convalescent Hospital,"420 S Bonnie Brae St, Los Angeles, CA, 90057",15,18,5
Bridges To Recovery,"10201 Charing Cross Rd, Los Angeles, CA, 90024",2,1,0
Broadway Manor Care Center,"605 W Broadway, Glendale, CA, 91204",11,24,1
Brookdale Central Senior Living-Whittier,"8101 Painter Ave, Whittier, CA, 90602",5,7,0
Brookdale Gardens of Tarzana,"18700 Burbank Blvd, Tarzana, CA, 91356",1,1,0
Brookdale Monrovia,"201 E Foothill Blvd, Monrovia, CA, 91016",3,5,1
Brookdale Northridge Assisted Living,"17650 Devonshire St, Northridge, CA, 91325",6,3,1
Brookdale Northridge Memory Care,"17650 Devonshire St, Northridge, CA, 91325",5,18,11
Brookfield Healthcare Center,"9300 Telegraph Rd, Downey, CA, 90240",5,50,10
Buena Ventura Post Acute Care Center,"1016 S Record Ave, Los Angeles, CA, 90023",28,71,16
Burbank Healthcare and Rehabilitation Center,,37,65,20
Burlington Convalescent Hospital,"845 S Burlington Ave, Los Angeles, CA, 90057",20,39,3
CPES California Napa Street,"15952 Osborne St, North Hills, CA, 91343",3,3,0
California Healthcare and Rehabilitation Center,,50,57,15
California Post Acute Care,"3615 E Imperial Hwy, Lynwood, CA, 90262",23,52,7
California Post Acute Convalescent Center,"909 S Lake St, Los Angeles, CA, 90006",9,20,2
"California State Prison, Lancaster","44750 60th St W, Lancaster, CA, 93536",55,128,0
Canyon Oaks Nursing and Rehabilitation Center,,4,1,1
Canyon Trails At Topanga Senior Living,"7945 Topanga Canyon Blvd, Canoga Park, CA, 91304",10,35,7
Carson Senior Assisted Living,"345 E Carson St, Carson, CA, 90745",7,7,2
Casitas Care Center,"10626 Balboa Blvd, Granada Hills, CA, 91344",43,73,15
Cedars Assisted Living,"17300 Roscoe Blvd, Northridge, CA, 91325",14,38,1
Centinela Skilled Nursing & Wellness Centre West,"950 S Flower St, Inglewood, CA, 90301",15,23,9
Central Juvenile Hall,"1605 Eastlake Ave, Los Angeles, CA, 90033",2,18,0
Century Regional Detention Facility,"11705 Alameda St, Los Angeles, CA, 90059",9,64,0
Chandler Convalescent Hospital,"525 S Central Ave, Glendale, CA, 91204",13,33,9
Chatsworth Park Care Center,"10610 Owensmouth Ave, Chatsworth, CA, 91311",29,35,8
Chino Valley Health Care Center,"2351 S Towne Ave, Pomona, CA, 91766",11,36,0
City View Assisted Living,"515 N La Brea Ave, Los Angeles, CA, 90036",5,10,1
Clara Baldwin Stocker Home,"527 Valinda Ave, West Covina, CA, 91790",11,9,2
Claremont Care Center,"219 E Foothill Blvd, Pomona, CA, 91768",2,1,0
College Hospital,"10802 College Pl, Cerritos, CA, 90703",6,3,0
College Medical Center,"13300 Hawthorne Blvd, Hawthorne, CA, 90250",2,1,0
Colonial Gardens Nursing Home,"7246 Rosemead Blvd, Pico Rivera, CA, 90660",24,74,8
Continental Guest Home,"444 E 51st St, Los Angeles, CA, 90011",3,2,0
Coral Oaks Care Living,"4271 Carlin Ave, Lynwood, CA,, 90262",1,6,0
"Corbin Congregate Home, Inc.",,3,4,0
Country Cottage 1,"14508 Fonthill Ave, Hawthorne, CA,, 90250",4,3,0
Country Manor Healthcare,"11723 Fenton Ave, Lake View Terrace, CA, 91342",26,64,1
Country Villa Claremont Healthcare Center,"590 S Indian Hill Blvd, Claremont, CA, 91711",16,23,3
Country Villa Los Feliz Nursing Center,"3002 Rowena Ave, Los Angeles, CA, 90039",4,3,0
Country Villa Mar Vista Nursing Center,"3966 Marcasel Ave, Los Angeles, CA, 90066",11,6,1
Country Villa North Convalescent Center,"3233 W Pico Blvd, Los Angeles, CA, 90019",7,5,3
Country Villa Rehabilitation Center,"340 S Alvarado St, Los Angeles, CA, 90057",23,27,8
Country Villa Sheraton Nursing and Rehab Center,,39,75,23
Country Villa Terrace Nursing Center,"6050 W Pico Blvd, Los Angeles, CA, 90035",14,3,1
Country Villa Westwood Convalescent Center,"12121 Santa Monica Blvd, Los Angeles, CA, 90025",14,8,1
Country Villa Wilshire Convalescent Center,"855 N Fairfax Ave, Los Angeles, CA, 90046",11,8,0
Courtyard Care Center,"1880 Dawson Ave, Signal Hill, CA, 90755",2,3,0
Covina Rehabilitation Center,"261 Badillo St, Covina, CA, 91723",22,17,5
Crenshaw Nursing Home,"1900 S Longwood Ave, Los Angeles, CA, 90016",1,1,0
Culver West Health Center,"4035 Grand View Blvd, Los Angeles, CA, 90066",20,39,6
Dearborn Home,"16516 Dearborn Ave, North Hills, CA, 91343",3,4,0
Del Amo Behavioral Health System,"23700 Camino Del Sol, Torrance, CA, 90505",13,15,0
Del Amo Gardens Care Center,"22419 Kent Ave, Torrance, CA, 90505",6,6,0
Del Rio Convalescent Center,"7004 E Gage Ave, Bell Gardens, CA, 90201",11,30,3
Del Rio Gardens Care Center,"7002 4 East Gage Ave, Bell Gardens, CA, 90201",9,21,4
Dewey Home,"2127 Dewey St, Santa Monica, CA, 90405",1,1,1
Dorothy Kirby Center,"1500 S McDonnell Ave, Commerce, CA, 90040",14,8,0
Downey Community Health Center,"8425 Iowa St, Downey, CA, 90241",56,126,14
Downey Post Acute,"13007 Paramount Blvd, Downey, CA, 90242",21,44,8
Driftwood Healthcare Center,"4109 Emerald St, Torrance, CA, 90503",4,1,1
East Los Angeles Doctors Hospital D/P SNF,"4060 Whittier Blvd, Los Angeles, CA, 90023",3,1,0
Easter Seals Southern California,,4,4,0
Eastland Subacute and Rehabilitation Center,,10,19,0
Eisenberg Village,"6440 Wilbur Ave, Reseda, CA, 91335",31,19,8
El Encanto Healthcare and Habilitation Center,,7,10,4
El Rancho Vista Health Care Center,"8925 Mines Ave, Pico Rivera, CA, 90660",19,44,14
Eleanor's Residential Housing,"4926 Shenandoah Ave, Los Angeles, CA, 90056",1,3,1
Elmcrest Care Center,"3111 Santa Anita Ave, El Monte, CA, 91733",19,48,12
Elwyn Doreen,"5116 Doreen Ave, Temple City, CA, 91780",0,1,0
Emerald Terrace Convalescent Hospital,"1154 S Alvarado St, Los Angeles, CA, 90006",15,11,1
Evening Grace Residential Facility For Elderly LLC,,2,3,1
"FCI, Terminal Island","1299 S Seaside Ave, San Pedro, CA, 90731",14,741,10
Fallbrook Glen West Hills Assisted Living,"6833 Fallbrook Ave, West Hills, CA, 91307",9,21,5
Family Circle,"8061 Saint Clair Ave, North Hollywood, CA, 91605",1,1,1
"Fenton Villa, Inc.",,4,1,0
Flower Villa Convalescent,"1480 S La Cienega Blvd, Los Angeles, CA, 90035",15,7,3
Foothill Retirement Care Home,"6720 St Estaban St, Tujunga, CA, 91042",1,2,0
Fountainview At Gonda Westside,"12490 Fielding Cir, Los Angeles, CA, 90094",4,2,0
"Four Seasons Healthcare & Wellness Center, LP","5335 Laurel Canyon Blvd, North Hollywood, CA, 91607",61,101,19
Gardena Convalescent Center,"14819 Vermont Ave, Gardena, CA, 90247",23,36,8
Genesee House #1,,2,3,0
Glendale Healthcare Center,"1208 S Central Ave, Glendale, CA, 91204",11,10,3
Glendora Grand Convalescent Hospital,"805 Arrow Hwy, Glendora, CA, 91740",21,30,0
Glenhaven Healthcare,"212 West Chevy Chase Dr, Glendale, CA, 91204",17,19,5
Glenoaks Convalescent Hospital,"409 W Glenoaks Blvd, Glendale, CA, 91202",9,52,13
God's Property Sober Living Foundation,"335 E 104th St, Los Angeles, CA, 90003",0,16,0
Golden Assisted Living,"14060 Astoria St, Sylmar, CA, 91342",5,12,0
Good Samaritan Hospital,"1225 Wilshire Blvd, Los Angeles, CA, 90017",66,2,0
Good Shepherd Health Care Center of Santa Monica,"1131 Arizona Ave, Santa Monica, CA, 90401",5,4,0
Granada Hills Convalescent Hospital,"16123 Chatsworth St, Granada Hills, CA, 91344",6,4,2
Granada Post Acute,"3565 E Imperial Hwy, Lynwood, CA, 90262",20,50,15
Grancell Village of The Jewish Homes For The Aging,"7150 Tampa Ave, Reseda, CA, 91335",8,1,0
Grandview Retirement Center,"2211 W 6th St, Los Angeles, CA, 90057",6,19,1
Green Acres Healthcare Center,"8101 Hill Dr, Rosemead, CA, 91770",16,9,3
Greenfield Care Center of South Gate,"8455 State St, South Gate, CA, 90280",40,73,9
Griffith Park Health Care Center,"201 Allen Ave, Glendale, CA, 91201",1,2,0
Grupo 24 Horas de Alcoholicos Anoninmos Los Angeles,,0,5,0
Guardian Rehabilitation Hospital,"533 S Fairfax Ave, Los Angeles, CA, 90036",6,6,0
Harbor Post Acute Care Center,"21521 Vermont Ave, Torrance, CA, 90502",18,38,9
Hawthorne Healthcare & Wellness Centre,"11630 Grevillea Ave, Hawthorne, CA, 90250",19,37,8
Heritage Rehabilitation Center,"21414 Vermont Ave, Torrance, CA, 90502",2,1,0
High Valley Lodge,"7912 Topley Ln, Sunland-Tujunga, CA, 91040",6,30,4
Highland Park Skilled Nursing & Wellness Centre (1),"5125 Monte Vista St, Los Angeles, CA, 90042",5,1,0
Highland Park Skilled Nursing & Wellness Centre (2),"5125 Monte Vista St, Los Angeles, CA, 90042",5,1,0
Hollenbeck Palms,"573 S Boyle Ave, Los Angeles, CA, 90033",6,3,0
Hollenbeck Palms Assisted Living Facility,"573 S Boyle Ave, Los Angeles, CA, 90033",9,2,0
Huntington Drive Health & Rehabilitation Center,"400 Huntington Dr, Arcadia, CA, 91007",2,1,0
Huntington Healthcare Center,"4515 Huntington Dr S, Los Angeles, CA, 90032",18,23,13
Hyde Park Convalescent Hospital,"6520 West Blvd, Los Angeles, CA, 90043",5,9,1
Imperial Healthcare Center,"11926 La Mirada Blvd, La Mirada, CA, 90638",20,64,15
Infinity Care of East Los Angeles,"101 S Fickett St, Los Angeles, CA, 90033",30,46,5
Inglewood Health Care Center,"100 S Hillcrest Blvd, Inglewood, CA, 90301",14,45,9
Inland Valley Care and Rehabilitation Center,,3,2,0
Inn At The Park Ventura,"21200 Ventura Blvd, Woodland Hills, CA, 91364",2,7,0
Ivy Creek Health Care Wellness Center,"115 Bridge St, San Gabriel, CA, 91775",9,8,0
Joyce Eisenberg-Keefer Medical Center,"7150 Tampa Ave, Reseda, CA, 91335",8,1,0
Kei-Ai Los Angeles Healthcare Center,"2221 Lincoln Park Ave, Los Angeles, CA, 90031",16,6,3
Kei-Ai South Bay Healthcare Center,"15115 Vermont Ave, Gardena, CA, 90247",40,43,18
Kennedy Post Acute Care Center,"619 N Fairfax Ave, Los Angeles, CA, 90036",15,14,0
Kindred Paramount,,6,6,0
Kingsley Manor Assisted Living,"1055 N Kingsley Dr, Los Angeles, CA, 90029",1,1,0
Kingsley Manor Care Center,"1055 N Kingsley Dr, Los Angeles, CA, 90029",20,19,4
La Crescenta Healthcare Center,"3050 Montrose Ave, Glendale, CA, 91214",15,19,4
Lake Balboa Care Center,"16955 Vanowen St, Van Nuys, CA, 91406",4,6,0
Lakeview Terrace,,12,38,7
Lakewood Healthcare Center,"12023 Lakewood Blvd, Downey, CA, 90242",60,116,4
Lakewood Park Manor,"12045 Lakewood Blvd, Downey, CA, 90242",1,10,3
Landmark Medical Center,"2030 N Garey Ave, Pomona, CA, 91767",20,30,0
Las Flores Convalescent Hospital,"14165 Purche Ave, Gardena, CA, 90249",6,3,1
"Lawndale Healthcare & Wellness Centre, LLC","15100 Prairie Ave, Lawndale, CA, 90260",2,1,1
Leisure Glen Post Acute Care Center,"330 Mission Rd, Glendale, CA, 91205",34,67,11
Leisure Vale Retirement Home,"413 E Cypress St, Glendale, CA, 91205",3,3,0
Lighthouse Healthcare Center,"2222 Santa Ana S, Los Angeles, CA, 90059",7,4,0
Little Company of Mary Subacute Care Center,"1322 W 6th St, San Pedro, CA, 90732",17,2,0
Little Sisters of The Poor,"2100 S Western Ave, San Pedro, CA, 90732",0,2,0
Live-Well ICF/DD-N,"11053 Sharp Ave, Mission Hills, CA, 91345",6,2,2
Lomita Post Acute Care Center,"1955 Lomita Blvd, Lomita, CA, 90717",7,18,0
Longwood Manor Convalescent Hospital,"4853 W Washington Blvd, Los Angeles, CA, 90016",17,30,5
Los Palos Post Acute Care Center,"1430 W 6th St, San Pedro, CA, 90732",12,44,6
MDH Specialized Care Homes 2 - Calmada,"7919 Calmada Ave, Whittier, CA, 90603",7,2,0
MDH Trumball,"7239 Washington Ave, Whittier, CA, 90602",4,3,0
Maclay Healthcare Center,"12831 Maclay St, Sylmar, CA, 91342",44,61,12
Magnolia Gardens Convalescent Hospital,"17922 San Fernando Mission Blvd, Granada Hills, CA, 91344",40,58,17
Manchester Manor Convalescent Hospital,"837 W Manchester Ave, Los Angeles, CA, 90044",0,2,0
Maple Health Care Center (1),"2625 Maple Ave, Los Angeles, CA, 90011",8,29,0
Maple Health Care Center (2),"2625 Maple Ave, Los Angeles, CA, 90011",0,1,0
Marina Pointe Healthcare & Subacute,"5240 Sepulveda Blvd, Culver City, CA, 90230",20,42,11
Mayflower Gardens Convalescent Hospital,"6705 Columbia Way, Lancaster, CA, 93536",14,24,11
Maywood Skilled Nursing & Wellness Centre,"6025 Pine Ave, Maywood, CA, 90270",39,95,14
McIntyre House,"544 N Kenmore Ave, Los Angeles, CA, 90004",1,6,0
Meadowbrook Behavioral Health Center,"3951 East Blvd, Los Angeles, CA, 90066",2,4,0
Meadowbrook Senior Living Agoura Hills,"5217 Chesebro Rd, Agoura Hills, CA, 91301",5,1,1
Men's Central Jail,"441 Bauchet St, Los Angeles, CA, 90012",88,433,1
Mesa Glen Care Center,"638 E Colorado Ave, Glendora, CA, 91740",3,5,0
Metropolitan Detention Center,"535 Alameda St, Los Angeles, CA, 90012",2,3,0
Mid Wilshire Health Care Center,"676 S Bonnie Brae St, Los Angeles, CA, 90057",14,38,13
Monte Cedro Retirement Comm,"2212 El Molino Ave, Altadena, CA, 91001",2,1,1
Montebello Care Center,"1035 W Beverly Blvd, Montebello, CA, 90640",0,5,2
"Montecito Heights Healthcare & Wellness Centre, LP.","4585 N Figueroa St, Los Angeles, CA, 90065",6,1,0
"Monterey Healthcare & Wellness Centre, LP","1267 San Gabriel Blvd, Rosemead, CA, 91770",4,2,1
Montrose Healthcare Center,"2123 Verdugo Blvd, Montrose, CA, 91020",21,35,12
Montrose Springs Skilled Nursing & Wellness Center (1),"2635 Honolulu Ave, Montrose, CA, 91020",17,15,3
Montrose Springs Skilled Nursing & Wellness Center (2),"2635 Honolulu Ave, Montrose, CA, 91020",1,2,0
Motion Picture & Television Fund,"23388 Mulholland Dr, Woodland Hills, CA, 91364",20,17,6
Mount San Antonio Gardens,"900 Harrison Ave, Pomona, CA, 91767",0,1,0
New Futures Sober Living,,0,6,1
New Vista Nursing and Rehabilitation Center,,40,45,13
New Vista Post-Acute Care Center,"1516 Sawtelle Blvd, Los Angeles, CA, 90025",19,39,1
Normandie Place,"14509 Normandie Ave, Gardena, CA, 90247",1,1,0
North County Correctional Facility,"29340 The Old Rd, Castaic, CA, 91384",52,1314,0
North Valley Nursing Center,"7660 N Wyngate St, Tujunga, CA, 91042",0,1,0
Northridge Care Center,"7836 Reseda Blvd, Reseda, CA, 91335",13,30,10
Norwalk Meadows Nursing Center,"10625 Leffingwell Rd, Norwalk, CA, 90650",7,2,1
Norwalk Skilled Nursing & Wellness Centre,"11510 Imperial Hwy, Norwalk, CA, 90650",37,47,8
Oakmont of Santa Clarita,"28650 Newhall Ranch Rd, Santa Clarita, CA, 91355",1,16,5
Oakmont of Valencia,"24070 Copper Hill Dr, Valencia, CA, 91354",8,13,6
Oakpark Healthcare Center,"9166 Tujunga Canyon Blvd, Tujunga, CA, 91042",16,17,9
Ocean Pointe Healthcare Center,"1330 17th St, Santa Monica, CA, 90404",16,42,11
Olive Tree #2,"7834 Vanalden Ave, Reseda, CA, 91335",1,1,0
Olympia Convalescent Hospital,"1100 S Alvarado St, Los Angeles, CA, 90006",39,65,24
Optimist Youth Homes and Family Services,,6,7,0
Osage Healthcare & Wellness Centre,"1001 S Osage Ave, Inglewood, CA, 90301",6,27,6
Outdoor Congregate Area - Boyle Heights,,0,3,0
Pacific Post Acute,"1323 17th St, Santa Monica, CA, 90404",1,1,0
Pacifica Hospital of The Valley D/P SNF,"9449 San Fernando Rd, Sun Valley, CA, 91352",2,7,0
Pacifica Senior Living,"8700 Lindley Ave, Northridge, CA, 91325",26,27,14
Palazzo Post Acute (1),"5400 Fountain Ave, Los Angeles, CA, 90029",21,26,10
Palazzo Post Acute (2),"5400 Fountain Ave, Los Angeles, CA, 90029",0,2,0
Panorama Gardens Nursing and Rehabilitation Center,,34,91,16
Paramount Convalescent Hospital,"8558 Rosecrans Ave, Paramount, CA, 90723",2,2,0
Park Paseo Independent Living,"123 S Isabel St, Glendale, CA, 91205",0,4,1
Parkwest Healthcare Center SNF,"6740 Wilbur Ave, Reseda, CA, 91335",39,25,9
Pasadena Park Healthcare & Wellness Center,"2585 E Washington Blvd, Pasadena, CA, 91107",12,10,2
Penn Mar Therapeutic Center,"3938 Cogswell Rd, El Monte, CA, 91732",10,18,0
Pico Rivera Healthcare Center,"9140 Verner St, Pico Rivera, CA, 90660",2,9,0
Pitchess Detention Facility,"29320 The Old Rd, Castaic, CA, 91384",57,489,0
Porter Ranch Aloha III,"20022 Vintage St, Chatsworth, CA, 91311",1,1,0
Primrose Post-Acute,"515 Centinela Ave, Inglewood, CA, 90302",19,30,5
Providence Holy Cross Med Center,"15031 Rinaldi St, Mission Hills, CA, 91345",9,2,0
Ramona Nursing and Rehabilitation Center,,40,64,13
Rinaldi Convalescent Hospital,"16553 Rinaldi St, Granada Hills, CA, 91344",22,55,13
Riviera Healthcare Center,"8203 Telegraph Rd, Pico Rivera, CA, 90660",36,97,18
Rosecrans Care Center,"1140 Rosecrans Ave, Gardena, CA, 90247",2,2,0
Rosecrans Villa,"14110 Cordary Ave, Hawthorne, CA, 90250",1,14,0
Royal Gardens Healthcare,"2339 W Valley Blvd, Alhambra, CA, 91803",9,1,0
Royal Oaks Manor,"1763 Royal Oaks Dr N, Duarte, CA, 91010",3,2,0
Royal Palms Post Acute,"630 W Broadway, Glendale, CA, 91204",34,13,1
Royal Terrace Healthcare,"1340 Highland Ave, Duarte, CA, 91010",4,8,0
Royal Vista Care Center,"909 W Santa Anita St, San Gabriel, CA, 91776",22,56,18
Royalwood Care Center,"22520 Maple Ave, Torrance, CA, 90505",38,76,17
San Fernando Post Acute Hospital,"12260 Foothill Blvd, Sylmar, CA, 91342",5,4,0
San Gabriel Convalescent Center,,4,2,0
Santa Anita Convalescent Hospital," 5522 Gracewood Ave, Temple City, CA, 91780",25,64,28
Santa Clarita Post Acute Care Ctr SNF,"23801 Newhall Ave, Newhall, CA, 91321",10,6,1
Santa Fe Heights Healthcare Center LLC,"2309 N Santa Fe Ave, Compton, CA, 90222",4,1,1
Santa Fe Skilled Nursing Facility,"5053 Peck Rd, El Monte, CA, 91732",7,17,1
Santa Monica Convalescent Center II,"2250 29th St, Santa Monica, CA, 90405",14,12,1
Santa Monica Health Care Center,"1320 20th St, Santa Monica, CA, 90404",15,24,3
Santa Teresita Manor,"819 Buena Vista St, Duarte, CA, 91010",12,16,4
Seacrest Convalescent Hospital,"1416 W 6th St, San Pedro, CA, 90732",1,21,0
Sepulveda Residential,"8025 Sepulveda Blvd, Van Nuys, CA, 91402",2,1,0
Shadow Hills Convalescent Hospital,"10158 Sunland Blvd, Sunland-Tujunga, CA, 91040",13,14,6
Sherman Oaks Health & Rehabilitation Center,"14401 Huston St, Sherman Oaks, CA, 91423",9,14,4
Sierra View Care Center,"14318 Ohio St, Baldwin Park, CA, 91706",15,48,1
Silverado Beverly Place,"330 N Hayworth Ave, Los Angeles, CA, 90048",32,58,13
Silverado Calabasas Assisted Living,"25100 Calabasas Rd, Calabasas, CA, 91302",18,50,10
Skyline Healthcare Center-Los Angeles (1),,10,1,0
Skyline Healthcare Center-Los Angeles (2),,10,1,0
Solheim Senior Community (Assisted Living),"2236 Merton Ave, Los Angeles, CA, 90041",5,2,1
Solheim Senior Community (SNF) (1),,23,16,5
Solheim Senior Community (SNF) (2),,0,1,0
South Pasadena Care Center,"904 Mission St, South Pasadena, CA, 91030",31,84,23
Southland Care Center,"11701 Studebaker Rd, Norwalk, CA, 90650",6,8,0
Starview Adolescent Center,"4025 W 226th St, Torrance, CA, 90505",27,8,0
Stoney Point Healthcare Center,"21820 Craggyview St, Chatsworth, CA, 91311",30,32,14
Studio City Rehabilitation Center,"11429 Ventura Blvd, Studio City, CA, 91604",20,35,8
Sunnyside Nursing Center,"22617 Vermont Ave, Torrance, CA, 90502",4,2,0
Sunnyview Care Center,"2000 W Washington Blvd, Los Angeles, CA, 90018",19,32,8
Sunrise Assisted Living Studio City,"4610 Coldwater Canyon Ave, Studio City, CA, 91604",2,3,1
Sunrise At Sterling Canyon,"25815 McBean Pkwy, Santa Clarita, CA, 91355",5,1,0
Sunrise Villa Culver City,"4061 Grand View Blvd, Los Angeles, CA, 90066",9,8,5
Sunset Manor Convalescent Hospital,"2720 Nevada Ave, South El Monte, CA, 91733",18,24,1
Sylmar Health and Rehabilitation Center,,36,41,0
TLC Lindley House 2,"7915 Lindley Ave, Reseda, CA, 91335",4,6,0
Tarzana Health and Rehabilitation Center,,56,104,14
Temple City Healthcare,"5101 Tyler Ave, Temple City, CA, 91780",9,4,0
Temple Park Convalescent Hospital,"2411 W Temple St, Los Angeles, CA, 90026",4,1,0
The Commons At Woodland Hills,"21711 Ventura Blvd, Woodland Hills, CA, 91364",4,3,1
The Grove At Covina,,3,3,1
The Grove Post-Acute Care Center,"14122 Hubbard St, Sylmar, CA, 91342",17,43,12
The Heights At Burbank,"2721 W Willow St, Burbank, CA, 91505",3,4,1
The Kensington Sierra Madre,,15,11,2
The Meadows Post Acute,"14857 Roscoe Blvd, Panorama City, CA, 91402",26,46,19
The Orchard Post Acute Care,"12385 Washington Blvd, Whittier, CA, 90606",12,33,5
The Rehabilitation Center of Santa Monica,"1338 20th St, Santa Monica, CA, 90404",25,39,13
The Rehabilitation Centre of Beverly Hills,"580 S San Vicente Blvd, Los Angeles, CA, 90048",39,29,5
Thoreau House 2,"1948 Thoreau St, Los Angeles, CA, 90047",3,1,0
Twin Towers Correctional Facility,"450 Bauchet St, Los Angeles, CA, 90012",88,278,1
Two Palms Nursing Center,"2637 E Washington Blvd, Pasadena, CA, 91107",7,30,0
UCP Longo House,"11051 Old Santa Susana Pass Rd, Chatsworth, CA, 91311",3,2,1
University Park Healthcare Center (1),"230 E Adams Blvd, Los Angeles, CA, 90011",0,1,0
University Park Healthcare Center (2),"230 E Adams Blvd, Los Angeles, CA, 90011",15,35,4
Valley View Retirement Center,"7720 Woodman Ave, Panorama City, CA, 91402",0,2,0
Valley Village Tupperhouse,"16124 Tupper St, North Hills, CA, 91343",5,3,0
Valley Vista Nursing and Transitional Care LLC,,1,1,0
Van Nuys Health Care Center,"6835 Hazeltine Ave, Van Nuys, CA, 91405",0,1,0
Vermont Healthcare Center,"22035 Vermont Ave, Torrance, CA, 90502",6,4,2
Veterans Home of California - West Los Angeles,"11500 Nimitz Ave, Los Angeles, CA, 90049",4,2,1
View Park Convalescent Hospital,"3737 Don Felipe Dr, Los Angeles, CA, 90008",27,62,17
Villa Elena Healthcare Center,"13226 Studebaker Rd, Norwalk, CA, 90650",4,1,1
Villa Scalabrini,"10631 Vinedale St, Sun Valley, CA, 91352",12,8,1
Virgil Convalescent Hospital,"975 N Virgil Ave, Los Angeles, CA, 90029",23,21,15
Virginia House,"18831 Topham St, Tarzana, CA, 91335",4,2,1
Vista Del Sol Care Center,"11620 W Washington Blvd, Los Angeles, CA, 90066",16,19,4
Vista Veranda,"3540 Martin Luther King Jr Blvd, Lynwood, CA, 90262",0,1,0
Wayfinder Family Services,"5300 Angeles Vista Blvd, Los Angeles, CA, 90043",0,2,0
Wellsprings Post Acute Center,"44445 15th St W, Lancaster, CA, 93534",5,1,1
West Haven Healthcare Ctr,"1495 W Cameron Ave, West Covina, CA, 91790",18,35,2
West Hills Health and Rehab,,40,79,27
West LA Support Services Home #2,,1,3,0
West Valley Assisted Living,"7055 Shoup Ave, West Hills, CA, 91307",0,1,0
West Valley Post Acute,"7057 Shoup Ave, West Hills, CA, 91307",23,75,17
Western Convalescent Hospital,"2190 W Adams Blvd, Los Angeles, CA, 90018",6,6,1
Westlake Convalescent Hospital,"316 S Westlake Ave, Los Angeles, CA, 90057",9,1,0
Westwood Plaza Retirement,"2228 Westwood Blvd, Los Angeles, CA, 90064",0,2,0
Whittier Hills Health Care Center,"10426 Bogardus Ave, Whittier, CA, 90603",10,11,2
Whittier Pacific Care Center,"7716 Pickering Ave, Whittier, CA, 90602",2,19,2
Windsor Care Center of Cheviot Hills,"3533 Motor Ave, Los Angeles, CA, 90034",25,56,6
Windsor Gardens Convalescent Center of Hawthorne,"13922 Cerise Ave, Hawthorne, CA, 90250",5,14,7
