Setting Name,City,Number of Confirmed Staff,Number of Confirmed Residents,Total Deaths
Berkley West Convalescent Hospital,"Santa Monica, CA",13,11,2
Best Life Sober Living - Women's House,"Winnetka, CA",0,3,0
Beverly Hills Carmel North,"West Hollywood, CA",4,2,1
Beverly Hills Loving Care - Wooster St,"Los Angeles, CA",4,4,0
Bianca Residential Care,"Lawndale, CA",3,2,0
Bixby Knoll Place II,"Gardena, CA",5,4,1
Blessed Blissful Home Care (RCFE),"Carson, CA",1,4,0
Boys Republic Pomona House,"Pomona, CA",1,4,0
Brethren Hillcrest Homes - Southwoods Lodge,"La Verne, CA",5,20,0
Briarcrest Nursing Center,"Bell Gardens, CA",16,32,1
Bridge at Valley Glen- Sober Living Home,"Valley Glen, CA",1,7,0
Brightside Residential,"Pomona, CA",1,4,0
Brightstar Assisted Living,"Bellflower, CA",3,1,0
Broadway Manor Care Center,"Glendale, CA",26,37,6
Brookdale Alhambra,"Alhambra, CA",7,0,0
Brookdale Central Whittier,"Whittier, CA",9,26,0
Brookdale Chatsworth (1),"Chatsworth, CA",17,38,5
Brookdale Chatsworth (2),"Chatsworth, CA",6,7,1
Brookdale Gardens of Tarzana,"Tarzana, CA",4,2,1
Brookdale Northridge SNF,"Northridge, CA",24,19,5
Brookdale Ocean House,"Santa Monica, CA",17,15,0
Brookdale Santa Monica Gardens,"Santa Monica, CA",2,5,0
Brookdale South Bay,"Torrance, CA",4,8,2
Brookdale Uptown Whittier,"Whittier, CA",8,20,3
Brookfield Healthcare Center (1),"Downey, CA",7,19,6
Brookfield Healthcare Center (2),"Downey, CA",17,19,2
Buena Ventura Post Acute Care Center,"Los Angeles, CA",15,15,2
Burbank Healthcare and Rehabilitation Center (1),"Burbank, CA",31,14,0
Burbank Healthcare and Rehabilitation Center (2),"Burbank, CA",0,1,0
Burton Home,"West Hills, CA",3,6,0
California Healthcare and Rehabilitation Center,"Van Nuys, CA",44,30,4
California Mentor Rosemount Home,"Claremont, CA",5,1,0
California Mission Inn,"Rosemead, CA",6,18,6
California Post Acute Convalescent Center,"Los Angeles, CA",7,4,0
California Rehabilitation Institute ICP,"Los Angeles, CA",0,4,0
California Senior of Sherman Oaks,"Sherman Oaks, CA",2,3,1
Candlelight Home Bartlett,"Rosemead, CA",3,4,0
"Candlelight Home, Angela","West Covina, CA",5,1,0
Canyon Crest,"Sun Valley, CA",5,5,1
Canyon Oaks Nursing and Rehabilitation Center,"Canoga Park, CA",35,65,10
Cardinal Yu Pin Manor,"Norwalk, CA",2,13,0
Carrie's Board and Care,"Panorama City, CA",2,5,2
Carson Senior Assisted Living and Memory Care,"Carson, CA",20,21,2
Casa Bonita Convalescent Hospital,"San Dimas, CA",24,31,0
Casa Colina Hospital - Rehabilitative Medicine,"Pomona, CA",3,8,0
Casa Del Corazon Sober Living,"Los Angeles, CA",3,6,0
Casa Fatima,"Huntington Park, CA",5,2,0
Casa Menendez,"Downey, CA",3,2,0
Casitas Care Center,"Granada Hills, CA",25,9,2
Catherine Home,"Bellflower, CA",0,2,1
Cedars Assisted Living,"Northridge, CA",9,21,2
Centinela Skilled Nursing & Wellness Centre West,"Inglewood, CA",7,4,1
Centinella Assisted Living Center,"Inglewood, CA",7,30,4
Cerritos Vista Healthcare Center (Previously Woodruff Convalescent Center),"Bellflower, CA",14,25,4
Chandler Convalescent Hospital,"Glendale, CA",26,11,3
Chatsworth Park Care Center,"Chatsworth, CA",17,11,1
Chino Valley Health Care Center (1),"Pomona, CA",30,28,4
Chino Valley Health Care Center (2),"Pomona, CA",1,1,0
Choices R Us - Bairnsdale,"Downey, CA",5,4,0
Choices R Us - Dunrobin,"Downey, CA",2,2,0
Choices R Us - Faust,"Downey, CA",3,3,0
Choices R Us - Hondo,"Downey, CA",7,3,0
Choices R Us - Spry,"Downey, CA",4,4,0
Choices R Us - Woodhue,"Pico Rivera, CA",0,4,0
Christine's Retreat 3,"Reseda, CA",2,2,0
City View LA,"Los Angeles, CA",25,17,2
Clara Baldwin Stocker Home,"West Covina, CA",15,16,3
Claremont Care Center,"Pomona, CA",37,77,7
Claremont Manor Retirement Community,"Claremont, CA",28,7,1
Claremont Place Assisted Living,"Claremont, CA",15,14,2
Clarendon Senior Living 3,"Woodland Hills, CA",3,5,0
Clear View Convalescent Center,"Gardena, CA",13,42,2
"CLIMB, Inc. ARF5","Rosemead, CA",4,1,0
Clontarf Manor Artesia,"Artesia, CA",3,33,0
CN Home #6,"Lomita, CA",6,5,0
Coast Care Convalescent Center,"Baldwin Park, CA",18,38,3
College Hospital Cerritos (1),"Cerritos, CA",52,50,0
College Hospital Cerritos (2),"Cerritos, CA",35,25,0
College Vista Post Acute (1),"Los Angeles, CA",22,32,7
College Vista Post Acute (2),"Los Angeles, CA",0,1,0
Colonial Gardens Nursing Home,"Pico Rivera, CA",20,9,0
Comfort Home #1,"North Hills, CA",3,4,0
Communication Improvement Center,"Mission Hills, CA",1,4,0
"Community Care Center, Inc. (1)","Duarte, CA",74,114,1
"Community Care Center, Inc. (2)","Duarte, CA",2,7,0
Conwell Residential Facility,"Covina, CA",0,5,0
Country Inn of Downey,"Downey, CA",2,14,0
Country Oaks Care Center,"Pomona, CA",26,23,2
Country View Assisted Living,"West Covina, CA",14,63,3
Country Villa Claremont Healthcare Center,"Claremont, CA",26,15,5
Country Villa East Nursing Center,"Los Angeles, CA",22,25,4
Country Villa Los Feliz Nursing Center,"Los Angeles, CA",69,90,19
Country Villa Mar Vista Nursing Center,"Los Angeles, CA",27,29,4
Country Villa North Convalescent Center,"Los Angeles, CA",62,50,8
Country Villa Sheraton Nursing and Rehab Center,"North Hills, CA",19,31,2
Country Villa Terrace Assisted Living,"Los Angeles, CA",5,7,3
Country Villa Terrace Nursing Center,"Los Angeles, CA",27,32,5
Country Villa Westwood Convalescent Center,"Los Angeles, CA",35,28,0
Country Villa Wilshire Convalescent Center,"Los Angeles, CA",30,60,8
Courtyard Care Center,"Signal Hill, CA",13,12,1
Courtyard Plaza (1),"Van Nuys, CA",8,7,1
Courtyard Plaza (2),"Van Nuys, CA",1,3,0
Covina Rehabilitation Center,"Covina, CA",9,19,0
"CPES California, Inc. - Baird","Northridge, CA",7,3,0
"CPES California, Inc. - North Hills","North Hills, CA",2,2,0
Crebs Compassion Home,"Northridge, CA",0,3,0
"CRI-Help, Inc.","North Hollywood, CA",16,6,0
Crockett Home,"Sun Valley, CA",6,5,0
Cullen Home,"Whittier, CA",0,2,0
Culver West Health Center,"Los Angeles, CA",22,31,4
Dangerfield Home #2,"Los Angeles, CA",2,3,0
Daniel's Care Center,"Gardena, CA",4,4,0
Daniella's Home,"Torrance, CA",2,2,0
"David & Margaret Family Services, Winterhaven Home","La Verne, CA",4,4,0
Dawnview Home,"Pomona, CA",9,6,0
Del Mar Convalescent Hospital,"Rosemead, CA",3,9,2
Del Sol Home (Beach),"Bellflower, CA",1,2,0
Del Sol Home (Faust),"Lakewood, CA",2,1,0
Dela Vega ARF,"Northridge, CA",2,4,0
Delta Home Care III,"West Covina, CA",3,3,0
Desert Canyon Post Acute SNF,"Lancaster, CA",55,68,19
Diamond GEM Home Care,"Pomona, CA",2,3,0
"Discovery 4 (D4, Inc)","Los Angeles, CA",8,25,1
Downey Adult Home Care III,"Downey, CA",6,6,0
Downey Community Health Center,"Downey, CA",37,59,4
Downey Post Acute,"Downey, CA",51,48,9
Downey Retirement Center,"Downey, CA",27,39,7
Dreier's Nursing Care Center,"Glendale, CA",17,46,3
DSH - Metropolitan State Hospital SNF Unit 417,"Norwalk, CA",0,2,0
DSH - Metropolitan State Hospital SNF Unit 419,"Norwalk, CA",0,1,0
DSH - Metropolitan State Hospital Unit 408,"Norwalk, CA",7,32,0
Eagle Dale Division,"Eagle Rock, CA",5,3,0
Easter Seals Dempsey Home,"Granada Hills, CA",6,3,0
Easter Seals Kenwood Home,"Burbank, CA",5,0,0
Eastland Subacute and Rehabilitation Center,"El Monte, CA",2,1,0
El Encanto Healthcare and Habilitation Center,"City of Industry, CA",9,1,0
El Rancho Vista Health Care Center,"Pico Rivera, CA",14,6,1
"Elim Healthcare, Inc.","Los Angeles, CA",14,50,9
Elmcrest Care Center (Valley View Post Acute),"El Monte, CA",19,27,4
Elwyn California El Monte,"El Monte, CA",1,1,0
Elwyn California Orange Grove,"Hacienda Heights, CA",4,2,0
Elwyn California Quartz,"Winnetka, CA",10,0,0
Elwyn California Yarmouth,"Granada Hills, CA",9,3,0
Elwyn NC Babcock,"Valley Village, CA",11,2,1
Elwyn NC Kelvin 2,"Winnetka, CA",11,3,0
Elwyn NC Larrylyn,"Whittier, CA",9,3,0
Elwyn NC Mayall,"Northridge, CA",10,4,1
Elwyn NC Vista,"San Gabriel, CA",2,2,0
Emerald GEM Home Care,"Pomona, CA",2,5,0
Emily's Home #5,"Carson, CA",2,3,0
"Emily's Residential Care Center, LLC","Sun Valley, CA",5,6,0
Encino Terrace Senior Living,"Encino, CA",5,18,0
EPT Better Living,"Reseda, CA",4,2,0
Ettie Lee Homes - Oak Knolls,"Azusa, CA",2,2,0
Evergreen Senior Care,"Alhambra, CA",3,6,0
Fallbrook Glen of West Hills,"West Hills, CA",9,7,1
Flair Senior Manor 1,"Woodland Hills, CA",1,3,1
"Flower Villa, Inc.","Los Angeles, CA",3,3,0
FMJVITACARE1 Corp.,"Rowland Heights, CA",1,2,0
Foothill Retirement Care Home,"Tujunga, CA",6,2,1
Fountain View Subacute and Nursing Center,"Los Angeles, CA",44,44,6
Fountainview at Eisenberg Village,"Reseda, CA",12,8,1
Fountainview at Gonda Westside,"Los Angeles, CA",35,14,1
Four Seasons Assisted Living Center,"Valley Village, CA",0,8,1
"Four Seasons Healthcare & Wellness Center, LP","Valley Village, CA",3,6,1
Fresh Start Sober Living,"Los Angeles, CA",0,14,0
Garden of Palms,"West Hollywood, CA",5,20,1
Garden View Post Acute Rehabilitation,"Baldwin Park, CA",24,45,1
Gardena Convalescent Center,"Gardena, CA",8,4,1
Garth Home,"Los Angeles, CA",7,3,0
Gateways Satellite North,"Los Angeles, CA",0,9,0
Genuine Care Adult Residential,"Los Angeles, CA",3,4,0
Gilmar Manor,"Van Nuys, CA",6,23,1
Glen Park at Glendale - Boynton St,"Glendale, CA",0,7,0
Glen Park at Glendale - Mariposa St,"Glendale, CA",22,39,4
Glen Park at Monrovia,"Monrovia, CA",2,8,0
Glen Park at Valley Village,"Valley Village, CA",18,33,3
Glendale Carehome,"Glendale, CA",1,1,0
Glendale Healthcare Center,"Glendale, CA",22,24,0
Glendora Canyon Transitional Care Unit,"Glendora, CA",16,36,2
Glendora Grand Convalescent Hospital,"Glendora, CA",3,1,0
"Glenridge Center, #140","Glendale, CA",11,18,6
Golden Assisted Living,"Sylmar, CA",8,31,5
Golden Hills Retirement Center,"Tujunga, CA",0,3,1
Golden Legacy (Previously San Fernando Post Acute Hospital),"Sylmar, CA",34,4,0
Golden Manor Retirement Center,"Montebello, CA",9,45,0
Golden State Care Center,"Baldwin Park, CA",66,81,6
Golden State Colonial Healthcare Center,"North Hollywood, CA",13,7,0
Good Company Residential Care,"Los Angeles, CA",1,2,0
Good Shepard Cottage,"Duarte, CA",5,3,0
Grace Pineda's Home II,"Covina, CA",2,3,0
Granada Hills Convalescent Hospital,"Granada Hills, CA",8,3,1
Grancell Village of The Jewish Homes For The Aging,"Reseda, CA",40,37,18
Grand Park Convalescent Hospital,"Los Angeles, CA",27,39,7
Grand Valley Health Care Center,"Van Nuys, CA",20,14,4
Greater El Monte Community Hospital D/P SNF,"El Monte, CA",0,3,0
Green Acres Healthcare Center,"Rosemead, CA",21,40,0
Greenfield Care Center of South Gate,"South Gate, CA",15,2,0
Griffith Park Health Care Center,"Glendale, CA",44,57,6
Guardian Rehabilitation Hospital,"Los Angeles, CA",13,39,6
Hacienda Heights Community Home,"Hacienda Heights, CA",2,1,0
Hamilton House,"Glendale, CA",3,5,0
"Harmony Congregate Living, Inc.","North Hollywood, CA",1,2,0
Harvard Creek Post Acute (Previously Royal Crest Health Care),"Covina, CA",25,41,5
Health Right 360 Walden House,"Los Angeles, CA",18,77,0
Helen Evans Home,"Hacienda Heights, CA",24,23,0
Henry Mayo Newhall Hospital,"Valencia, CA",0,3,0
Heritage Manor,"Monterey Park, CA",35,52,13
High Valley Lodge,"Sunland, CA",8,3,1
Highland Park Skilled Nursing & Wellness Centre,"Los Angeles, CA",39,49,4
Holiday House,"El Monte, CA",2,0,0
Holiday Manor Care Center,"Canoga Park, CA",25,71,12
Holiday Villa East,"Santa Monica, CA",3,29,3
Hollenbeck Palms Assisted Living Facility,"Los Angeles, CA",29,17,2
Hollenbeck Palms SNF,"Los Angeles, CA",14,6,1
Holy Hill - Carfax Home,"Bellflower, CA",1,3,0
Holy Hill - Somerset Home,"Bellflower, CA",1,1,0
"Home of Compassion No. 2, Inc.","Sylmar, CA",7,1,0
Home of TLC,"Downey, CA",1,3,0
Hoover Home,"Los Angeles, CA",4,6,0
Hope House For The Multiple-Handicapped,"El Monte, CA",9,13,0
Horace Assisted Living,"Granada Hills, CA",0,2,1
Hourglass Home,"Diamond Bar, CA",5,6,0
Huber House,"Bellflower, CA",6,3,0
Huntington Drive Health & Rehabilitation Center,"Arcadia, CA",35,64,6
Huntington Park Nursing Center,"Huntington Park, CA",23,4,1
Hyde Park Convalescent Hospital,"Los Angeles, CA",13,23,4
Imperial Care Center,"Studio City, CA",58,119,19
Imperial Healthcare Center,"La Mirada, CA",59,45,5
Infinity Care of East Los Angeles,"Los Angeles, CA",10,20,2
Inland Valley Care and Rehabilitation Center,"Pomona, CA",67,76,8
Inn at The Park Ventura,"Woodland Hills, CA",2,2,0
Intercommunity Healthcare & Rehabilitation Center,"Norwalk, CA",29,41,8
Ivy Creek Health Care Wellness Center,"San Gabriel, CA",33,54,13
J-J Excelcare Home 2,"Winnetka, CA",6,3,0
Jaire Home VI,"Bellflower, CA",5,4,2
Joshua Tree Home,"Rowland Heights, CA",4,6,0
Joy Home Center,"Canoga Park, CA",7,4,0
Joyce Eisenberg-Keefer Medical Center,"Reseda, CA",87,52,14
Jr Residential Care,"Lawndale, CA",1,4,0
Kei-Ai Los Angeles Healthcare Center,"Los Angeles, CA",101,148,40
Kindred Hospital San Gabriel Valley,"West Covina, CA",0,5,0
Kingsley Manor Assisted Living,"Los Angeles, CA",27,49,4
Kokumah Everyday Grace,"Walnut, CA",1,3,0
La Brea Rehabilitation Center,"Los Angeles, CA",27,18,2
LA CADA Allen House,"Santa Fe Springs, CA",5,12,0
La Crescenta Healthcare Center,"La Crescenta, CA",35,43,7
Lake Balboa Care Center,"Van Nuys, CA",7,5,0
Lakeview Terrace,"Los Angeles, CA",37,48,2
Lakewood Healthcare Center,"Downey, CA",55,72,5
Lakewood Park Manor (1),"Downey, CA",0,14,0
Lakewood Park Manor (2),"Downey, CA",0,19,1
Land of Peace 1,"West Hills, CA",2,4,1
Land of Peace 2,"West Hills, CA",0,4,1
Land of Peace 3,"West Hills, CA",2,6,0
Land of Peace 4,"West Hills, CA",1,5,0
Land of Peace 5,"West Hills, CA",4,6,0
Land of Peace 6,"West Hills, CA",3,5,0
Landmark Medical Center,"Pomona, CA",2,2,0
"Lark Spring Terrace, Inc.","Diamond Bar, CA",3,3,0
Las Flores Convalescent Hospital,"Gardena, CA",41,41,10
Le Bleu Chateau,"Burbank, CA",14,54,6
Le Bleu Chateau - Gold,"Burbank, CA",9,40,9
Leadwell Care Home,"Van Nuys, CA",3,4,0
Leisure Glen Post Acute Care Center,"Glendale, CA",22,18,1
Leisure Living #1,"Agoura Hills, CA",2,2,0
Leisure Vale Retirement Hotel,"Glendale, CA",5,4,1
Lighthouse Healthcare Center,"Los Angeles, CA",29,22,0
"Lin-Ros Best Home Care, Inc.","Lakewood, CA",4,5,1
Little House,"Bellflower, CA",2,6,0
Live Oak Rehabilitation Center,"San Gabriel, CA",61,76,29
Living Graceful,"Chatsworth, CA",3,4,0
Lone Star Board & Care Tujunga,"Tujunga, CA",12,25,0
Longwood Manor Convalescent Hospital,"Los Angeles, CA",69,96,16
Los Angeles Community Hospital at Bellflower,"Bellflower, CA",45,10,0
Los Feliz Gardens,"Glendale, CA",12,55,13
Los Palos Post Acute Care Center,"San Pedro, CA",45,30,1
Lotus Care Center,"Los Angeles, CA",3,22,0
Louise House 4,"Palmdale, CA",2,0,0
Lubec Home II,"Downey, CA",11,3,2
Luxor Living,"Sherwood Forest, CA",2,1,1
Maclay Healthcare Center,"Sylmar, CA",19,9,0
Magnolia Gardens Convalescent Hospital,"Granada Hills, CA",10,28,6
Marina Pointe Healthcare & Subacute,"Culver City, CA",32,19,2
Mariposa Home,"Los Angeles, CA",4,3,0
Marvin Gardens Re-Entry Facility,"Los Angeles, CA",6,8,0
Masonic Homes,"Covina, CA",14,11,2
Maywood Skilled Nursing & Wellness Centre,"Maywood, CA",28,10,0
MDH Christine,"Whittier, CA",1,2,0
MDH Coghill,"Whittier, CA",6,2,1
MDH Cornishcrest 2,"Whittier, CA",11,5,0
MDH Mar Vista,"Whittier, CA",3,1,0
MDH Specialized Care Homes 1 - Janine,"Whittier, CA",6,2,0
MDH Specialized Care Homes 1 - La Cima,"Whittier, CA",1,2,0
MDH Specialized Care Homes 3 - Vale,"Whittier, CA",2,1,0
Meadowbrook Behavioral Health Center,"Los Angeles, CA",15,31,0
Meadowbrook Senior Living Agoura Hills,"Agoura Hills, CA",25,27,3
Megan's Place,"North Hollywood, CA",0,4,1
Melrose Villas,"Los Angeles, CA",13,24,0
Memorial Hospital of Gardena D/P SNF,"Gardena, CA",0,1,0
Mesa Glen Care Center,"Glendora, CA",0,2,0
Mid Wilshire Health Care Center,"Los Angeles, CA",12,15,0
Midomar Home IV,"West Covina, CA",2,1,0
Miracle Mile Healthcare Center (Previously Beverly West Healthcare),"Los Angeles, CA",15,22,3
Mirada Hills Rehabilitation and Convalescent Hospital,"La Mirada, CA",63,78,15
Mission Care Center (1),"Rosemead, CA",29,48,8
Mission Care Center (2),"Rosemead, CA",0,1,0
Monrovia Gardens Healthcare Center,"Monrovia, CA",3,7,0
Monrovia Post Acute,"Duarte, CA",26,29,1
Monte Vista Healthcare Center,"Duarte, CA",23,33,4
Montebello Care Center,"Montebello, CA",54,72,10
MonteCedro Retirement Community,"Altadena, CA",5,2,0
"Monterey Healthcare & Wellness Centre, LP","Rosemead, CA",7,2,0
Monterey Park Convalescent Hospital,"Monterey Park, CA",12,16,0
Montrose Healthcare Center,"Montrose, CA",4,15,0
Montrose Springs Skilled Nursing & Wellness Center,"Montrose, CA",21,20,0
Mother of Mercy Homes,"West Covina, CA",1,1,0
Motion Picture & Television Fund,"Woodland Hills, CA",34,16,2
Mount San Antonio Gardens,"Pomona, CA",6,9,0
Mountain View Center,"Claremont, CA",2,1,0
Mountain View Convalescent Hospital,"Sylmar, CA",16,6,2
Mountain View Cottages #1,"Diamond Bar, CA",2,4,0
"Mountview Assisted Living, Memory Care Unit","Montrose, CA",15,31,2
Napoli in The Desert,"Palmdale, CA",8,8,0
National Support Services Home II,"North Hills, CA",4,0,0
Nazareth House,"Los Angeles, CA",2,3,0
New Vista Nursing and Rehabilitation Center (1),"Sunland, CA",6,6,0
New Vista Nursing and Rehabilitation Center (2),"Sunland, CA",4,2,0
New Vista Post-Acute Care Center,"Los Angeles, CA",20,27,1
Nikkei Senior Gardens,"Arleta, CA",4,9,7
Norris Division,"Sun Valley, CA",6,5,0
North Lake Villa,"Altadena, CA",13,26,2
North Walk Villa Convalescent Hospital,"Norwalk, CA",8,11,0
Northridge Care Center,"Reseda, CA",38,56,11
Northridge Hospital Medical Center,"Northridge, CA",0,3,0
Northridge Villa For Elderly,"Northridge, CA",0,4,0
Norwalk Meadows Nursing Center,"Norwalk, CA",33,43,3
Norwalk Skilled Nursing & Wellness Centre,"Norwalk, CA",41,45,4
Nuestra Casa - Recovery Bridge Housing,"South Gate, CA",1,3,0
Nurture Home Care,"Downey, CA",5,3,0
Oakmont of Santa Clarita,"Santa Clarita, CA",16,24,5
Oakmont of Whittier,"Whittier, CA",1,8,1
Olive Branch Assisted Living (1),"Northridge, CA",0,3,0
Olive Branch Assisted Living (2),"Northridge, CA",9,41,3
Olive Vista Behavioral Health Center,"Pomona, CA",23,13,0
Olivia Isabel Manor,"Carson, CA",1,8,0
Olympia Convalescent Hospital,"Los Angeles, CA",14,37,4
Optimist Youth Homes & Family Services,"Van Nuys, CA",2,2,0
Optimum Performance Institute (OPI),"Woodland Hills, CA",8,2,0
Orion Long Term Offender Reentry Recovery,"Van Nuys, CA",1,6,0
Oxford Villa,"Los Angeles, CA",3,4,0
Pacific Post Acute,"Santa Monica, CA",18,37,2
Pacifica Hospital of The Valley D/P SNF,"Sun Valley, CA",9,1,0
Pacifica Senior Living Northridge,"Northridge, CA",3,22,0
Pacifica Senior Living Santa Clarita,"Santa Clarita, CA",21,40,11
Palazzo Post Acute,"Los Angeles, CA",5,5,0
Palos Verdes Health Care Center,"Lomita, CA",6,7,1
Panorama Gardens Nursing and Rehabilitation Center,"Panorama City, CA",16,71,11
Paradise Palace II,"Hawthorne, CA",2,2,0
Park Avenue Healthcare & Wellness Center,"Pomona, CA",65,24,3
Parkview Manor,"Los Angeles, CA",8,1,0
Parkwest Healthcare Center SNF,"Reseda, CA",26,7,1
Pasadena Park Healthcare & Wellness Center,"Pasadena, CA",25,40,1
Patterns,"Hawthorne, CA",3,3,0
Penn Mar Therapeutic Center,"El Monte, CA",17,4,0
Penny Lane Center,"North Hills, CA",7,2,0
Penny Lane Center Satellite #2,"North Hills, CA",3,0,0
People's Care Ferrero,"La Puente, CA",9,2,0
People's Care Home on Croft,"Los Angeles, CA",3,3,1
People's Care Kaiser San Gabriel Home,"San Gabriel, CA",7,4,1
People's Care Kaiser Specialized Residential Alhambra,"Alhambra, CA",5,0,0
People's Care Kaiser Specialized Residential Monterey Park,"Monterey Park, CA",6,4,0
People's Care Viola,"Pomona, CA",13,3,0
Phoenix Empowerment Sober Living,"Downey, CA",1,7,0
Pico Rivera Gardens,"Pico Rivera, CA",11,26,0
Pico Rivera Healthcare Center,"Pico Rivera, CA",11,14,0
PIH Health Hospital - Whittier Barlow Respiratory Hospital,"Whittier, CA",0,1,0
PIH Health Hospital - Whittier D/P SNF,"Whittier, CA",7,10,0
PIH The Hospice House Presbyterian Intercommunity (Rose House),"Whittier, CA",3,0,0
"Pine Grove Healthcare & Wellness Centre, LP","San Gabriel, CA",24,40,15
Prestige Assisted Living,"Lancaster, CA",5,1,0
Primrose Post-Acute,"Inglewood, CA",16,7,0
Project Six DD Homes,"North Hills, CA",2,2,0
Prospect Manor,"South Pasadena, CA",3,14,1
Prototypes in Pomona,"Pomona, CA",13,1,0
Providence Little Company of Mary Sub Acute Care Center,"San Pedro, CA",25,3,0
Providence St. Elizabeth Care Center,"North Hollywood, CA",14,29,1
Puente Home,"West Covina, CA",7,4,0
Ramona Nursing and Rehabilitation Center,"El Monte, CA",62,36,2
Ramsgate Home,"Los Angeles, CA",13,3,1
Rancho San Antonio Boys Home,"Chatsworth, CA",32,19,0
Redeemer Home III,"West Covina, CA",4,4,0
Redell Pine,"Monrovia, CA",2,5,0
Reflection Substance Use Disorder Facility,"Bellflower, CA",0,5,0
Regency Grand at West Covina (Assisted Living and Memory Care),"West Covina, CA",14,10,0
Regency Manor,"Los Angeles, CA",1,24,0
