Del Rio Gardens Care Center,7002 Gage Ave,Bell Gardens,CA,90201
Dewey Home,2127 Dewey St,Santa Monica,CA,90405
Dorothy Kirby Center,1500 S McDonnell Ave,Commerce,CA,90040
Downey Community Health Center,8425 Iowa St,Downey,CA,90241
Downey Post Acute,13007 Paramount Blvd,Downey,CA,90242
Driftwood Healthcare Center,4109 Emerald St,Torrance,CA,90503
East Los Angeles Doctors Hospital D/P SNF,4060 Whittier Blvd,Los Angeles,CA,90023
Eastland Subacute And Rehabilitation Center,3825 Durfee Ave,El Monte,CA,91732
Eisenberg Village,6440 Wilbur Ave,Reseda,CA,91335
El Encanto Healthcare And Habilitation Center,555 El Encanto Rd,City of Industry,CA,91745
El Rancho Vista Health Care Center,8925 Mines Ave,Pico Rivera,CA,90660
Eleanor's Residential Housing,4926 Shenandoah Ave,Los Angeles,CA,90056
Elmcrest Care Center,3111 Santa Anita Ave,El Monte,CA,91733
Elwyn Doreen,5116 Doreen Ave,Temple City,CA,91780
Emerald Terrace Convalescent Hospital,1154 S Alvarado St,Los Angeles,CA,90006
"FCI, Terminal Island",1299 Seaside Ave,San Pedro,CA,90731
Fallbrook Glen West Hills Assisted Living,6833 Fallbrook Ave,West Hills,CA,91307
Family Circle,8061 Saint Clair Ave,N Hollywood,CA,91605
Fenton Villa Inc,13863 Fenton Ave,Sylmar,CA,91342
Flower Villa Convalescent,1480 S La Cienega Blvd,Los Angeles,CA,90035
Foothill Retirement Care Home,6720 Saint Estaban St,Tujunga,CA,91042
Fountainview At Gonda Westside,12490 Fielding Cir,Los Angeles,CA,90094
"Four Seasons Healthcare & Wellness Center, LP",5335 Laurel Canyon Blvd,N Hollywood,CA,91607
Gardena Convalescent Center,14819 S Vermont Ave,Gardena,CA,90247
Glendale Healthcare Center,1208 S Central Ave,Glendale,CA,91204
Glendora Grand Convalescent Hospital,805 W Arrow Hwy,Glendora,CA,91740
Glenhaven Healthcare,212 W Chevy Chase Dr,Glendale,CA,91204
Glenoaks Convalescent Hospital,409 W Glenoaks Blvd,Glendale,CA,91202
God's Property Sober Living Foundation,335 E 104th St,Los Angeles,CA,90003
Golden Assisted Living,14060 Astoria St,Sylmar,CA,91342
Good Samaritan Hospital,1225 Wilshire Blvd,Los Angeles,CA,90017
Good Shepherd Health Care Center of Santa Monica,1131 Arizona Ave,Santa Monica,CA,90401
Granada Hills Convalescent Hospital,16123 Chatsworth St,Granada Hills,CA,91344
Granada Post Acute,3565 Imperial Hwy,Lynwood,CA,90262
Grancell Village of The Jewish Homes For The Aging,7150 Tampa Ave,Reseda,CA,91335
Grandview Retirement Center,2211 W 6th St,Los Angeles,CA,90057
Green Acres Healthcare Center,8101 Hill Dr,Rosemead,CA,91770
Greenfield Care Center of South Gate,8455 State St,South Gate,CA,90280
Griffith Park Health Care Center,201 Allen Ave,Glendale,CA,91201
Grupo 24 Horas De Alcoholicos Anoninmos Los Angeles,6403 Crenshaw Blvd,Los Angeles,CA,90043
Guardian Rehabilitation Hospital,533 S Fairfax Ave,Los Angeles,CA,90036
Harbor Post Acute Care Center,21521 S Vermont Ave,Torrance,CA,90502
Hawthorne Healthcare & Wellness Centre,11630 Grevillea Ave,Hawthorne,CA,90250
Heritage Rehabilitation Center,21414 S Vermont Ave,Torrance,CA,90502
High Valley Lodge,7912 Topley Ln,Sunland,CA,91040
Highland Park Skilled Nursing & Wellness Centre (1),5125 Monte Vista St,Los Angeles,CA,90042
Highland Park Skilled Nursing & Wellness Centre (2),5125 Monte Vista St,Los Angeles,CA,90042
Hollenbeck Palms,573 S Boyle Ave,Los Angeles,CA,90033
Hollenbeck Palms Assisted Living Facility,573 S Boyle Ave,Los Angeles,CA,90033
Huntington Drive Health & Rehabilitation Center,400 W Huntington Dr,Arcadia,CA,91007
Huntington Healthcare Center,4515 Huntington Dr S,Los Angeles,CA,90032
Hyde Park Convalescent Hospital,6520 West Blvd,Los Angeles,CA,90043
Imperial Healthcare Center,11926 La Mirada Blvd,La Mirada,CA,90638
Infinity Care of East Los Angeles,101 S Fickett St,Los Angeles,CA,90033
Inglewood Health Care Center,100 S Hillcrest Blvd,Inglewood,CA,90301
Inland Valley Care And Rehabilitation Center,250 W Artesia St,Pomona,CA,91768
Inn At The Park Ventura,21200 Ventura Blvd,Woodland Hills,CA,91364
Ivy Creek Health Care Wellness Center,115 Bridge St,San Gabriel,CA,91775
Joyce Eisenberg-Keefer Medical Center,7150 Tampa Ave,Reseda,CA,91335
Kei-Ai Los Angeles Healthcare Center,2221 Lincoln Park Ave,Los Angeles,CA,90031
Kei-Ai South Bay Healthcare Center,15115 S Vermont Ave,Gardena,CA,90247
Kennedy Post Acute Care Center,619 N Fairfax Ave,Los Angeles,CA,90036
Kingsley Manor Assisted Living,1055 N Kingsley Dr,Los Angeles,CA,90029
Kingsley Manor Care Center,1055 N Kingsley Dr,Los Angeles,CA,90029
La Crescenta Healthcare Center,3050 Montrose Ave,Glendale,CA,91214
Lake Balboa Care Center,16955 Vanowen St,Van Nuys,CA,91406
Lakewood Healthcare Center,12023 Lakewood Blvd,Downey,CA,90242
Lakewood Park Manor,12045 Lakewood Blvd,Downey,CA,90242
Landmark Medical Center,2030 N Garey Ave,Pomona,CA,91767
Las Flores Convalescent Hospital,14165 Purche Ave,Gardena,CA,90249
"Lawndale Healthcare & Wellness Centre, LLC",15100 Prairie Ave,Lawndale,CA,90260
Leisure Glen Post Acute Care Center,330 Mission Rd,Glendale,CA,91205
Leisure Vale Retirement Home,413 E Cypress St,Glendale,CA,91205
Lighthouse Healthcare Center,2222 Santa Ana N,Los Angeles,CA,90059
Little Company of Mary Subacute Care Center,1322 W 6th St,San Pedro,CA,90732
Little Sisters of The Poor,2100 S Western Ave,San Pedro,CA,90732
Live-Well ICF/DD-N,11053 Sharp Ave,Mission Hills,CA,91345
Lomita Post Acute Care Center,1955 Lomita Blvd,Lomita,CA,90717
Longwood Manor Convalescent Hospital,4853 W Washington Blvd,Los Angeles,CA,90016
Los Palos Post Acute Care Center,1430 W 6th St,San Pedro,CA,90732
MDH Specialized Care Homes 2 - Calmada,7919 Calmada Ave,Whittier,CA,90602
MDH Trumball,7239 Washington Ave,Whittier,CA,90602
Maclay Healthcare Center,12831 Maclay St,Sylmar,CA,91342
Magnolia Gardens Convalescent Hospital,17922 San Fernando Mission Blvd,Granada Hills,CA,91344
Manchester Manor Convalescent Hospital,837 W Manchester Ave,Los Angeles,CA,90044
Maple Health Care Center (1),2625 Maple Ave,Los Angeles,CA,90011
Maple Health Care Center (2),2625 Maple Ave,Los Angeles,CA,90011
Marina Pointe Healthcare & Subacute,5240 Sepulveda Blvd,Culver City,CA,90230
Mayflower Gardens Convalescent Hospital,6705 Columbia Way,Lancaster,CA,93536
Maywood Skilled Nursing & Wellness Centre,6025 Pine Ave,Maywood,CA,90270
McIntyre House,544 N Kenmore Ave,Los Angeles,CA,90004
Meadowbrook Behavioral Health Center,3951 East Blvd,Los Angeles,CA,90066
Meadowbrook Senior Living Agoura Hills,5217 Chesebro Rd,Agoura Hills,CA,91301
Men's Central Jail,441 Bauchet St,Los Angeles,CA,90012
Mesa Glen Care Center,638 E Colorado Ave,Glendora,CA,91740
Metropolitan Detention Center,535 N Alameda St,Los Angeles,CA,90012
Mid Wilshire Health Care Center,676 S Bonnie Brae St,Los Angeles,CA,90057
Monte Cedro Retirement Comm,2212 El Molino Ave,Altadena,CA,91001
Montebello Care Center,1035 W Beverly Blvd,Montebello,CA,90640
"Montecito Heights Healthcare & Wellness Centre, LP.",4585 N Figueroa St,Los Angeles,CA,90065
"Monterey Healthcare & Wellness Centre, LP",1267 San Gabriel Blvd,Rosemead,CA,91770
Montrose Healthcare Center,2123 Verdugo Blvd,Montrose,CA,91020
Montrose Springs Skilled Nursing & Wellness Center (1),2635 Honolulu Ave,Montrose,CA,91020
Montrose Springs Skilled Nursing & Wellness Center (2),2635 Honolulu Ave,Montrose,CA,91020
Motion Picture & Television Fund,23388 Mulholland Dr,Woodland Hills,CA,91364
Mount San Antonio Gardens,900 E Harrison Ave,Pomona,CA,91767
Mountain View Convalescent Hospital,13333 Fenton Ave,Sylmar,CA,91342
New Vista Nursing And Rehabilitation Center,8647 Fenwick St,Sunland,CA,91040
New Vista Post-Acute Care Center,1516 Sawtelle Blvd,Los Angeles,CA,90025
Normandie Place,14509 S Normandie Ave,Gardena,CA,90247
North County Correctional Facility,29340 The Old Rd,Castaic,CA,91384
North Valley Nursing Center,7660 Wyngate St,Tujunga,CA,91042
Northridge Care Center,7836 Reseda Blvd,Reseda,CA,91335
Norwalk Meadows Nursing Center,10625 Leffingwell Rd,Norwalk,CA,90650
Norwalk Skilled Nursing & Wellness Centre,11510 Imperial Hwy,Norwalk,CA,90650
Oakmont of Santa Clarita,28650 Newhall Ranch Rd,Santa Clarita,CA,91355
Oakmont of Valencia,24070 Copper Hill Dr,Valencia,CA,91354
Oakpark Healthcare Center,9166 Tujunga Canyon Blvd,Tujunga,CA,91042
Ocean Pointe Healthcare Center,1330 17th St,Santa Monica,CA,90404
Olive Tree #2,7834 Vanalden Ave,Reseda,CA,91335
Olympia Convalescent Hospital,1100 S Alvarado St,Los Angeles,CA,90006
Optimist Youth Homes And Family Services,6957 N Figueroa St,Los Angeles,CA,90041
Osage Healthcare & Wellness Centre,1001 S Osage Ave,Inglewood,CA,90301
Pacific Post Acute,1323 17th St,Santa Monica,CA,90404
Pacifica Hospital of The Valley D/P SNF,9449 San Fernando Rd,Sun Valley,CA,91352
Pacifica Senior Living,8700 Lindley Ave,Northridge,CA,91325
Palazzo Post Acute (1),5400 Fountain Ave,Los Angeles,CA,90029
Palazzo Post Acute (2),5400 Fountain Ave,Los Angeles,CA,90029
Panorama Gardens Nursing And Rehabilitation Center,9541 Van Nuys Blvd,Panorama City,CA,91402
Paramount Convalescent Hospital,8558 Rosecrans Ave,Paramount,CA,90723
Park Paseo Independent Living,123 S Isabel St,Glendale,CA,91205
Parkwest Healthcare Center SNF,6740 Wilbur Ave,Reseda,CA,91335
Pasadena Park Healthcare & Wellness Center,2585 E Washington Blvd,Pasadena,CA,91107
Penn Mar Therapeutic Center,3938 Cogswell Rd,El Monte,CA,91732
Pico Rivera Healthcare Center,9140 Verner St,Pico Rivera,CA,90660
Pitchess Detention Facility,29320 The Old Rd,Castaic,CA,91384
Porter Ranch Aloha III,20022 Vintage St,Chatsworth,CA,91311
Primrose Post-Acute,515 Centinela Ave,Inglewood,CA,90302
Providence Holy Cross Med Center,15031 Rinaldi St,Mission Hills,CA,91345
Ramona Nursing And Rehabilitation Center,11900 Ramona Blvd,El Monte,CA,91732
Rinaldi Convalescent Hospital,16553 Rinaldi St,Granada Hills,CA,91344
Riviera Healthcare Center,8203 Telegraph Rd,Pico Rivera,CA,90660
Rosecrans Care Center,1140 W Rosecrans Ave,Gardena,CA,90247
Rosecrans Villa,14110 Cordary Ave,Hawthorne,CA,90250
Royal Gardens Healthcare,2339 W Valley Blvd,Alhambra,CA,91803
Royal Oaks Manor,1763 Royal Oaks Dr,Duarte,CA,91010
Royal Palms Post Acute,630 W Broadway,Glendale,CA,91204
Royal Terrace Healthcare,1340 Highland Ave,Duarte,CA,91010
Royal Vista Care Center,909 W Santa Anita Ave,San Gabriel,CA,91776
Royalwood Care Center,22520 Maple Ave,Torrance,CA,90505
San Fernando Post Acute Hospital,12260 Foothill Blvd,Sylmar,CA,91342
Santa Anita Convalescent Hospital,5522 Gracewood Ave,Temple City,CA,91780
Santa Clarita Post Acute Care Ctr SNF,23801 Newhall Ave,Newhall,CA,91321
Santa Fe Heights Healthcare Center LLC,2309 N Santa Fe Ave,Compton,CA,90222
Santa Fe Skilled Nursing Facility,5053 N Peck Rd,El Monte,CA,91732
Santa Monica Convalescent Center II,2250 29th St,Santa Monica,CA,90405
Santa Monica Health Care Center,1320 20th St,Santa Monica,CA,90404
Santa Teresita Manor,819 Buena Vista St,Duarte,CA,91010
Seacrest Convalescent Hospital,1416 W 6th St,San Pedro,CA,90732
Sepulveda Residential,8025 N Sepulveda Blvd,Van Nuys,CA,91402
Shadow Hills Convalescent Hospital,10158 Sunland Blvd,Sunland,CA,91040
Sherman Oaks Health & Rehabilitation Center,14401 Huston St,Sherman Oaks,CA,91423
Sierra View Care Center,14318 Ohio St,Baldwin Park,CA,91706
Silverado Beverly Place,330 N Hayworth Ave,Los Angeles,CA,90048
Silverado Calabasas Assisted Living,25100 Calabasas Rd,Calabasas,CA,91302
Skyline Healthcare Center-Los Angeles,3032 Rowena Ave,Los Angeles,CA,90039
Solheim Senior Community,2236 Merton Ave,Los Angeles,CA,90041
Solheim Senior Community (Assisted Living),2236 Merton Ave,Los Angeles,CA,90041
Solheim Senior Community (SNF),2236 Merton Ave,Los Angeles,CA,90041
South Pasadena Care Center,904 Mission St,South Pasadena,CA,91030
Southland Care Center,11701 Studebaker Rd,Norwalk,CA,90650
Starview Adolescent Center,4025 W 226th St,Torrance,CA,90505
Stoney Point Healthcare Center,21820 Craggy View St,Chatsworth,CA,91311
Studio City Rehabilitation Center,11429 Ventura Blvd,Studio City,CA,91604
Sunnyside Nursing Center,22617 S Vermont Ave,Torrance,CA,90502
Sunnyview Care Center,2000 W Washington Blvd,Los Angeles,CA,90018
Sunrise Assisted Living Studio City,4610 Coldwater Canyon Ave,Studio City,CA,91604
Sunrise At Sterling Canyon,25815 McBean Pkwy,Santa Clarita,CA,91355
Sunrise Villa Culver City,4061 Grand View Blvd,Los Angeles,CA,90066
Sunset Manor Convalescent Hospital,2720 Nevada Ave,S El Monte,CA,91733
Sylmar Health And Rehabilitation Center,12220 Foothill Blvd,Sylmar,CA,91342
TLC Lindley House 2,7915 Lindley Ave,Reseda,CA,91335
Tarzana Health And Rehabilitation Center,5650 Reseda Blvd,Tarzana,CA,91356
Temple City Healthcare,5101 Tyler Ave,Temple City,CA,91780
Temple Park Convalescent Hospital,2411 W Temple St,Los Angeles,CA,90026
The Commons At Woodland Hills,21711 Ventura Blvd,Woodland Hills,CA,91364
The Grove Post-Acute Care Center,14122 Hubbard St,Sylmar,CA,91342
The Heights At Burbank,2721 Willow St,Burbank,CA,91505
The Kensington Sierra Madre - Memory Care Unit,245 W Sierra Madre Blvd,Sierra Madre,CA,91024
The Meadows Post Acute,14857 Roscoe Blvd,Panorama City,CA,91402
The Orchard Post Acute Care,12385 Washington Blvd,Whittier,CA,90606
The Rehabilitation Center of Santa Monica,1338 20th St,Santa Monica,CA,90404
The Rehabilitation Centre of Beverly Hills,580 N San Vicente Blvd,Los Angeles,CA,90048
Thoreau House 2,1948 Thoreau St,Los Angeles,CA,90047
Twin Towers Correctional Facility,450 Bauchet St,Los Angeles,CA,90012
Two Palms Nursing Center,2637 E Washington Blvd,Pasadena,CA,91107
UCP Longo House,11051 Old Santa Susana Pass Rd,Chatsworth,CA,91311
University Park Healthcare Center (1),230 E Adams Blvd,Los Angeles,CA,90011
University Park Healthcare Center (2),230 E Adams Blvd,Los Angeles,CA,90011
Valley View Retirement Center,7720 Woodman Ave,Panorama City,CA,91402
Valley Village Tupperhouse,16124 Tupper St,North Hills,CA,91343
Valley Vista Nursing And Transitional Care LLC,6120 N Vineland Ave,N Hollywood,CA,91606
Van Nuys Health Care Center,6835 Hazeltine Ave,Van Nuys,CA,91405
Vermont Healthcare Center,22035 S Vermont Ave,Torrance,CA,90502
Veterans Home of California - West Los Angeles,11500 Nimitz Ave,Los Angeles,CA,90049
View Park Convalescent Hospital,3737 Don Felipe Dr,Los Angeles,CA,90008
Villa Elena Healthcare Center,13226 Studebaker Rd,Norwalk,CA,90650
Villa Scalabrini,10631 Vinedale St,Sun Valley,CA,91352
Virgil Convalescent Hospital,975 N Virgil Ave,Los Angeles,CA,90029
Virginia House,18831 Topham St,Tarzana,CA,91335
Vista Del Sol Care Center,11620 Washington Blvd,Los Angeles,CA,90066
Vista Veranda,3540 Martin Luther King Jr Blvd,Lynwood,CA,90262
Wayfinder Family Services,5300 Angeles Vista Blvd,Los Angeles,CA,90043
Wellsprings Post Acute Center,44445 15th St W,Lancaster,CA,93534
West Haven Healthcare Ctr,1495 W Cameron Ave,West Covina,CA,91790
West Hills Health And Rehab,7940 Topanga Canyon Blvd,Canoga Park,CA,91304
West La Support Servies Home #2,1857 S Hayworth Ave,Los Angeles,CA,90035
West Valley Assisted Living,7055 Shoup Ave,West Hills,CA,91307
West Valley Post Acute,7057 Shoup Ave,West Hills,CA,91307
Western Convalescent Hospital,2190 W Adams Blvd,Los Angeles,CA,90018
Westlake Convalescent Hospital,316 S Westlake Ave,Los Angeles,CA,90057
Westwood Plaza Retirement,2228 Westwood Blvd,Los Angeles,CA,90064
Whittier Hills Health Care Center,10426 Bogardus Ave,Whittier,CA,90603
Whittier Pacific Care Center,7716 Pickering Ave,Whittier,CA,90602
Windsor Care Center of Cheviot Hills,3533 Motor Ave,Los Angeles,CA,90034
Windsor Gardens Convalescent Center of Hawthorne,13922 Cerise Ave,Hawthorne,CA,90250
Windsor Gardens Convalescent Hospital,915 Crenshaw Blvd,Los Angeles,CA,90019
Windsor Gardens Healthcare Center of The Valley,13000 Victory Blvd,N Hollywood,CA,91606
Windsor Hall Care Home (1),1415 W James M Wood Blvd,Los Angeles,CA,90015
Windsor Hall Care Home (2),1415 W James M Wood Blvd,Los Angeles,CA,90015
Windsor Palms Care Center of Artesia,11900 Artesia Blvd,Artesia,CA,90701
Windsor Terrace Healthcare Center,7447 Sepulveda Blvd,Van Nuys,CA,91405
Woodland Care Center,7120 Corbin Ave,Reseda,CA,91335
Woodruff Convalescent Center,17836 Woodruff Ave,Bellflower,CA,90706
York Healthcare & Wellness Centre,6071 York Blvd,Los Angeles,CA,90042
