"Bridges To Recovery","10201 Charing Cross Rd, Los Angeles, CA, 90024","Match","Exact","10201 CHARING CROSS RD, LOS ANGELES, CA, 90024","-118.429924,34.07898","642861908","R"
"College Hospital","10802 College Pl, Cerritos, CA, 90703","Match","Exact","10802 COLLEGE PL, CERRITOS, CA, 90703","-118.10292,33.885","637776510","L"
"Rosecrans Care Center","1140 W Rosecrans Ave, Gardena, CA, 90247","Match","Non_Exact","1140 W ROSECRANS AVE, GARDENA, CA, 90247","-118.29479,33.90191","241242983","L"
"Imperial Healthcare Center","11926 La Mirada Blvd, La Mirada, CA, 90638","Match","Non_Exact","11926 LA MIRADA BLVD, LA MIRADA, CA, 90638","-118.01185,33.92216","649818864","L"
"Montrose Springs Skilled Nursing & Wellness Center (2)","2635 Honolulu Ave, Montrose, CA, 91020","Match","Exact","2635 HONOLULU AVE, MONTROSE, CA, 91020","-118.23643,34.209236","141590080","R"
"Seacrest Convalescent Hospital","1416 W 6th St, San Pedro, CA, 90732","Match","Non_Exact","1416 W 6TH ST, SAN PEDRO, CA, 90732","-118.30759,33.73881","141690156","R"
"Meadowbrook Senior Living Agoura Hills","5217 Chesebro Rd, Agoura Hills, CA, 91301","No_Match"
"Palazzo Post Acute (2)","5400 Fountain Ave, Los Angeles, CA, 90029","Match","Exact","5400 FOUNTAIN AVE, LOS ANGELES, CA, 90029","-118.30717,34.094963","141603148","L"
"Pico Rivera Healthcare Center","9140 Verner St, Pico Rivera, CA, 90660","Match","Exact","9140 VERNER ST, PICO RIVERA, CA, 90660","-118.08282,33.99881","241246414","R"
"Chandler Convalescent Hospital","525 S Central Ave, Glendale, CA, 91204","Match","Non_Exact","525 S CENTRAL AVE, GLENDALE, CA, 91204","-118.257866,34.139706","241240415","R"
"Downey Post Acute","13007 Paramount Blvd, Downey, CA, 90242","Match","Exact","13007 PARAMOUNT BLVD, DOWNEY, CA, 90242","-118.15622,33.91843","141697127","R"
"Windsor Gardens Convalescent Hospital","915 Crenshaw Blvd, Los Angeles, CA, 90019","Match","Exact","915 CRENSHAW BLVD, LOS ANGELES, CA, 90019","-118.32224,34.05598","634249250","R"
"Alhambra Healthcare & Wellness Centre, LP (2)","415 S Garfield Ave, Alhambra, CA, 91801","Tie"
"Little Company of Mary Subacute Care Center","1322 W 6th St, San Pedro, CA, 90732","Match","Non_Exact","1322 W 6TH ST, SAN PEDRO, CA, 90732","-118.30565,33.738796","142666002","R"
"Joyce Eisenberg-Keefer Medical Center","7150 Tampa Ave, Reseda, CA, 91335","Match","Exact","7150 TAMPA AVE, RESEDA, CA, 91335","-118.55351,34.19998","141554186","R"
"Maple Health Care Center (2)","2625 Maple Ave, Los Angeles, CA, 90011","Match","Exact","2625 MAPLE AVE, LOS ANGELES, CA, 90011","-118.265594,34.02318","141619193","R"
"Lake Balboa Care Center","16955 Vanowen St, Van Nuys, CA, 91406","Match","Exact","16955 VANOWEN ST, VAN NUYS, CA, 91406","-118.502464,34.193893","141555737","R"
"Monterey Healthcare & Wellness Centre, LP","1267 San Gabriel Blvd, Rosemead, CA, 91770","No_Match"
"Magnolia Gardens Convalescent Hospital","17922 San Fernando Mission Blvd, Granada Hills, CA, 91344","Match","Exact","17922 SAN FERNANDO MISSION BLVD, GRANADA HILLS, CA, 91344","-118.524124,34.272156","141542155","L"
"Sierra View Care Center","14318 Ohio St, Baldwin Park, CA, 91706","Match","Exact","14318 OHIO ST, BALDWIN PARK, CA, 91706","-117.96251,34.095425","141710838","R"
"Inland Valley Care And Rehabilitation Center","250 W Artesia St, Pomona, CA, 91768","Match","Exact","250 W ARTESIA ST, POMONA, CA, 91768","-117.75448,34.077457","141733231","L"
"Beachwood Post Acute & Rehab","1340 15th St, Santa Monica, CA, 90404","Match","Exact","1340 15TH ST, SANTA MONICA, CA, 90404","-118.48564,34.02562","141559342","R"
"Canyon Trails At Topanga Senior Living","7945 N Topanga Canyon Blvd, Canoga Park, CA, 91304","Match","Non_Exact","7945 N TOPANGA CANYON BLVD, CANOGA PARK, CA, 91304","-118.60606,34.21463","241188613","L"
"Kei-Ai South Bay Healthcare Center","15115 S Vermont Ave, Gardena, CA, 90247","Match","Non_Exact","15115 S VERMONT AVE, GARDENA, CA, 90247","-118.29204,33.89437","142854346","R"
"Bell Convalescent Hospital","4900 Florence Ave, Bell, CA, 90201","No_Match"
"California State Prison, Lancaster","44750 60th St W, Lancaster, CA, 93536","Match","Exact","44750 60TH ST W, LANCASTER, CA, 93536","-118.236626,34.695705","638620676","R"
"City View Assisted Living","515 N La Brea Ave, Los Angeles, CA, 90036","Tie"
"Golden Assisted Living","14060 Astoria St, Sylmar, CA, 91342","Match","Exact","14060 ASTORIA ST, SYLMAR, CA, 91342","-118.4397,34.31069","648247790","L"
"Berkley Valley Convalescent Hospital","6600 Sepulveda Blvd, Van Nuys, CA, 91411","Match","Exact","6600 SEPULVEDA BLVD, VAN NUYS, CA, 91411","-118.46618,34.190434","141560092","R"
"Del Rio Gardens Care Center","7002 Gage Ave, Bell Gardens, CA, 90201","No_Match"
"Casitas Care Center","10626 Balboa Blvd, Granada Hills, CA, 91344","Match","Exact","10626 BALBOA BLVD, GRANADA HILLS, CA, 91344","-118.50227,34.263245","608968790","R"
"Oakmont of Santa Clarita","28650 Newhall Ranch Rd, Santa Clarita, CA, 91355","No_Match"
"Sunrise At Sterling Canyon","25815 McBean Pkwy, Santa Clarita, CA, 91355","Match","Exact","25815 MCBEAN PKWY, SANTA CLARITA, CA, 91355","-118.55123,34.401535","241207532","R"
"Greenfield Care Center of South Gate","8455 State St, South Gate, CA, 90280","Match","Exact","8455 STATE ST, SOUTH GATE, CA, 90280","-118.21148,33.959415","142763269","R"
"The Grove Post-Acute Care Center","14122 Hubbard St, Sylmar, CA, 91342","No_Match"
"Shadow Hills Convalescent Hospital","10158 Sunland Blvd, Sunland, CA, 91040","Match","Exact","10158 SUNLAND BLVD, SUNLAND, CA, 91040","-118.3386,34.260334","141817427","R"
"Fallbrook Glen West Hills Assisted Living","6833 Fallbrook Ave, West Hills, CA, 91307","Match","Exact","6833 FALLBROOK AVE, WEST HILLS, CA, 91307","-118.62339,34.195084","642867406","L"
"Huntington Drive Health & Rehabilitation Center","400 W Huntington Dr, Arcadia, CA, 91007","No_Match"
"Ramona Nursing And Rehabilitation Center","11900 Ramona Blvd, El Monte, CA, 91732","Match","Exact","11900 RAMONA BLVD, EL MONTE, CA, 91732","-118.01548,34.074932","142747331","R"
"Riviera Healthcare Center","8203 Telegraph Rd, Pico Rivera, CA, 90660","Match","Exact","8203 TELEGRAPH RD, PICO RIVERA, CA, 90660","-118.11429,33.965446","142792775","L"
"La Crescenta Healthcare Center","3050 Montrose Ave, Glendale, CA, 91214","Match","Exact","3050 MONTROSE AVE, GLENDALE, CA, 91214","-118.24597,34.219704","142724498","L"
"Brookdale Monrovia","201 E Foothill Blvd, Monrovia, CA, 91016","Tie"
"Mesa Glen Care Center","638 E Colorado Ave, Glendora, CA, 91740","Match","Non_Exact","638 E COLORADO AVE, GLENDORA, CA, 91740","-117.85678,34.12671","141717715","R"
"Arbor Glen Care Center","1033 E Arrow Hwy, Glendora, CA, 91740","Tie"
"Westwood Plaza Retirement","2228 Westwood Blvd, Los Angeles, CA, 90064","Match","Exact","2228 WESTWOOD BLVD, LOS ANGELES, CA, 90064","-118.43132,34.043407","141569954","L"
"Windsor Gardens Healthcare Center of The Valley","13000 Victory Blvd, N Hollywood, CA, 91606","No_Match"
"Lakewood Healthcare Center","12023 Lakewood Blvd, Downey, CA, 90242","Match","Exact","12023 LAKEWOOD BLVD, DOWNEY, CA, 90242","-118.131226,33.92573","614992222","R"
"Vista Veranda","3540 Martin Luther King Jr Blvd, Lynwood, CA, 90262","Match","Exact","3540 MARTIN LUTHER KING JR BLVD, LYNWOOD, CA, 90262","-118.20575,33.93471","241244062","R"
"Norwalk Skilled Nursing & Wellness Centre","11510 Imperial Hwy, Norwalk, CA, 90650","Match","Exact","11510 IMPERIAL HWY, NORWALK, CA, 90650","-118.08836,33.91704","640508167","R"
"Solheim Senior Community (Assisted Living)","2236 Merton Ave, Los Angeles, CA, 90041","Match","Exact","2236 MERTON AVE, LOS ANGELES, CA, 90041","-118.215775,34.13797","624251689","L"
"Aegis Living Granada Hills","10801 Lindley Ave, Granada Hills, CA, 91344","Match","Exact","10801 LINDLEY AVE, GRANADA HILLS, CA, 91344","-118.52657,34.26703","141542176","L"
"Brookdale Gardens of Tarzana","18700 Burbank Blvd, Tarzana, CA, 91356","Match","Exact","18700 BURBANK BLVD, TARZANA, CA, 91356","-118.540924,34.172337","142040346","L"
"Downey Community Health Center","8425 Iowa St, Downey, CA, 90241","Match","Exact","8425 IOWA ST, DOWNEY, CA, 90241","-118.13275,33.936813","241244995","L"
"West Hills Health And Rehab","7940 Topanga Canyon Blvd, Canoga Park, CA, 91304","Match","Exact","7940 TOPANGA CANYON BLVD, CANOGA PARK, CA, 91304","-118.60588,34.21397","141533130","R"
"Twin Towers Correctional Facility","450 Bauchet St, Los Angeles, CA, 90012","Match","Exact","450 BAUCHET ST, LOS ANGELES, CA, 90012","-118.23135,34.05914","141618451","R"
"Meadowbrook Behavioral Health Center","3951 East Blvd, Los Angeles, CA, 90066","Match","Exact","3951 EAST BLVD, LOS ANGELES, CA, 90066","-118.423485,34.00495","141573961","R"
"TLC Lindley House 2","7915 Lindley Ave, Reseda, CA, 91335","Match","Exact","7915 LINDLEY AVE, RESEDA, CA, 91335","-118.52734,34.214203","141543850","L"
"Buena Ventura Post Acute Care Center","1016 S Record Ave, Los Angeles, CA, 90023","Match","Non_Exact","1016 S RECORD AVE, LOS ANGELES, CA, 90023","-118.182625,34.02195","142734750","L"
"California Post Acute Convalescent Center","909 S Lake St, Los Angeles, CA, 90006","Match","Non_Exact","909 S LAKE ST, LOS ANGELES, CA, 90006","-118.280045,34.05364","141605425","R"
"Inglewood Health Care Center","100 S Hillcrest Blvd, Inglewood, CA, 90301","Tie"
"Royal Oaks Manor","1763 Royal Oaks Dr, Duarte, CA, 91010","Match","Exact","1763 ROYAL OAKS DR, DUARTE, CA, 91010","-117.96558,34.143745","648518773","L"
"Sunnyside Nursing Center","22617 S Vermont Ave, Torrance, CA, 90502","Match","Non_Exact","22617 S VERMONT AVE, TORRANCE, CA, 90502","-118.29018,33.82055","142759840","R"
"Villa Elena Healthcare Center","13226 Studebaker Rd, Norwalk, CA, 90650","Match","Exact","13226 STUDEBAKER RD, NORWALK, CA, 90650","-118.09916,33.911396","636339435","L"
"Whittier Hills Health Care Center","10426 Bogardus Ave, Whittier, CA, 90603","Match","Exact","10426 BOGARDUS AVE, WHITTIER, CA, 90603","-117.984215,33.941692","142799785","L"
"Canyon Oaks Nursing And Rehabilitation Center","22029 Saticoy St, Canoga Park, CA, 91303","Match","Exact","22029 SATICOY ST, CANOGA PARK, CA, 91303","-118.60671,34.208286","142709162","R"
"The Meadows Post Acute","14857 Roscoe Blvd, Panorama City, CA, 91402","Match","Exact","14857 ROSCOE BLVD, PANORAMA CITY, CA, 91402","-118.45651,34.221485","141549439","R"
"View Park Convalescent Hospital","3737 Don Felipe Dr, Los Angeles, CA, 90008","Match","Exact","3737 DON FELIPE DR, LOS ANGELES, CA, 90008","-118.341644,34.007507","141602431","R"
"Country Villa Rehabilitation Center","340 S Alvarado St, Los Angeles, CA, 90057","Match","Non_Exact","340 S ALVARADO ST, LOS ANGELES, CA, 90057","-118.273125,34.062237","141616455","L"
"Western Convalescent Hospital","2190 W Adams Blvd, Los Angeles, CA, 90018","Match","Non_Exact","2190 W ADAMS BLVD, LOS ANGELES, CA, 90018","-118.31485,34.032654","141605785","L"
"Cedars Assisted Living","17300 Roscoe Blvd, Northridge, CA, 91325","Match","Exact","17300 ROSCOE BLVD, NORTHRIDGE, CA, 91325","-118.50996,34.221104","141544094","L"
"Veterans Home of California - West Los Angeles","11500 Nimitz Ave, Los Angeles, CA, 90049","No_Match"
"Beacon Healthcare Center","919 S Sunset Ave, West Covina, CA, 91790","Match","Non_Exact","919 S SUNSET AVE, WEST COVINA, CA, 91790","-117.945755,34.061707","241247562","R"
"Granada Post Acute","3565 Imperial Hwy, Lynwood, CA, 90262","Match","Exact","3565 IMPERIAL HWY, LYNWOOD, CA, 90262","-118.206276,33.930508","142764674","L"
"Mountain View Convalescent Hospital","13333 Fenton Ave, Sylmar, CA, 91342","No_Match"
"Brookdale Northridge Memory Care","17650 Devonshire St, Northridge, CA, 91325","Match","Exact","17650 DEVONSHIRE ST, NORTHRIDGE, CA, 91325","-118.51857,34.257614","141542327","L"
"Guardian Rehabilitation Hospital","533 S Fairfax Ave, Los Angeles, CA, 90036","Tie"
"Northridge Care Center","7836 Reseda Blvd, Reseda, CA, 91335","Match","Exact","7836 RESEDA BLVD, RESEDA, CA, 91335","-118.536064,34.212986","142034414","R"
"Virgil Convalescent Hospital","975 N Virgil Ave, Los Angeles, CA, 90029","Match","Non_Exact","975 N VIRGIL AVE, LOS ANGELES, CA, 90029","-118.2869,34.089237","141604240","L"
"Southland Care Center","11701 Studebaker Rd, Norwalk, CA, 90650","No_Match"
"Belmont Village of Encino","15451 Ventura Blvd, Sherman Oaks, CA, 91403","Match","Exact","15451 VENTURA BLVD, SHERMAN OAKS, CA, 91403","-118.47056,34.15454","642863968","R"
"Eleanor's Residential Housing","4926 Shenandoah Ave, Los Angeles, CA, 90056","Match","Exact","4926 SHENANDOAH AVE, LOS ANGELES, CA, 90056","-118.373344,33.996716","142673454","L"
"MDH Trumball","7239 Washington Ave, Whittier, CA, 90602","Match","Exact","7239 WASHINGTON AVE, WHITTIER, CA, 90602","-118.035,33.976517","141747928","R"
"Royalwood Care Center","22520 Maple Ave, Torrance, CA, 90505","Match","Exact","22520 MAPLE AVE, TORRANCE, CA, 90505","-118.33991,33.823753","241243220","L"
"CPES California Napa Street","15952 Osborne St, North Hills, CA, 91343","Match","Exact","15952 OSBORNE ST, NORTH HILLS, CA, 91343","-118.47982,34.23379","141544808","L"
"Primrose Post-Acute","515 Centinela Ave, Inglewood, CA, 90302","Match","Exact","515 CENTINELA AVE, INGLEWOOD, CA, 90302","-118.34952,33.972904","141653977","L"
"Woodruff Convalescent Center","17836 Woodruff Ave, Bellflower, CA, 90706","Match","Exact","17836 WOODRUFF AVE, BELLFLOWER, CA, 90706","-118.117226,33.87102","641499703","L"
"Los Palos Post Acute Care Center","1430 W 6th St, San Pedro, CA, 90732","Match","Non_Exact","1430 W 6TH ST, SAN PEDRO, CA, 90732","-118.30775,33.73881","141690156","R"
"Valley View Retirement Center","7720 Woodman Ave, Panorama City, CA, 91402","Match","Exact","7720 WOODMAN AVE, PANORAMA CITY, CA, 91402","-118.43096,34.21056","142034715","R"
"Driftwood Healthcare Center","4109 Emerald St, Torrance, CA, 90503","Match","Exact","4109 EMERALD ST, TORRANCE, CA, 90503","-118.35687,33.84136","142756286","R"
"Angels Nursing Health Center","415 S Union Ave, Los Angeles, CA, 90017","Tie"
"Manchester Manor Convalescent Hospital","837 W Manchester Ave, Los Angeles, CA, 90044","Match","Non_Exact","837 W MANCHESTER AVE, LOS ANGELES, CA, 90044","-118.287895,33.960052","142656102","R"
"Courtyard Care Center","1880 Dawson Ave, Signal Hill, CA, 90755","Match","Exact","1880 DAWSON AVE, SIGNAL HILL, CA, 90755","-118.16546,33.791344","142658925","R"
"Ocean Pointe Healthcare Center","1330 17th St, Santa Monica, CA, 90404","Match","Exact","1330 17TH ST, SANTA MONICA, CA, 90404","-118.48389,34.027256","141559344","R"
"MDH Specialized Care Homes 2 - Calmada","7919 Calmada Ave, Whittier, CA, 90602","Match","Exact","7919 CALMADA AVE, WHITTIER, CA, 90602","-118.011375,33.969532","141750460","R"
"California Healthcare And Rehabilitation Center","6700 Sepulveda Blvd, Van Nuys, CA, 91411","Match","Exact","6700 SEPULVEDA BLVD, VAN NUYS, CA, 91411","-118.46618,34.192177","141560091","R"
"Belmont Village-Calabasas","24141 Ventura Blvd, Calabasas, CA, 91302","Match","Exact","24141 VENTURA BLVD, CALABASAS, CA, 91302","-118.65419,34.153202","141723347","L"
"Country Villa Wilshire Convalescent Center","855 N Fairfax Ave, Los Angeles, CA, 90046","No_Match"
"Westlake Convalescent Hospital","316 S Westlake Ave, Los Angeles, CA, 90057","Match","Non_Exact","316 S WESTLAKE AVE, LOS ANGELES, CA, 90057","-118.271675,34.062057","141616458","L"
"Fountainview At Gonda Westside","12490 Fielding Cir, Los Angeles, CA, 90094","No_Match"
"Bel Tooren Villa Convalescent Hospital","16910 Woodruff Ave, Bellflower, CA, 90706","No_Match"
"Kingsley Manor Assisted Living","1055 N Kingsley Dr, Los Angeles, CA, 90029","Match","Non_Exact","1055 N KINGSLEY DR, LOS ANGELES, CA, 90029","-118.30327,34.08999","141603256","L"
"Santa Teresita Manor","819 Buena Vista St, Duarte, CA, 91010","Match","Exact","819 BUENA VISTA ST, DUARTE, CA, 91010","-117.977554,34.141846","640132135","R"
"Country Villa Westwood Convalescent Center","12121 Santa Monica Blvd, Los Angeles, CA, 90025","No_Match"
"Autumn Hills Health Care Center","430 N Glendale Ave, Glendale, CA, 91206","Match","Non_Exact","430 N GLENDALE AVE, GLENDALE, CA, 91206","-118.24437,34.152393","141609518","R"
"Centinela Skilled Nursing & Wellness Centre West","950 S Flower St, Inglewood, CA, 90301","Match","Non_Exact","950 S FLOWER ST, INGLEWOOD, CA, 90301","-118.3474,33.95118","142750626","L"
"Alexandria Care Center","1515 N Alexandria Ave, Los Angeles, CA, 90027","Match","Non_Exact","1515 N ALEXANDRIA AVE, LOS ANGELES, CA, 90027","-118.29833,34.09864","141597365","L"
"Bellflower Post Acute","9710 Artesia Blvd, Bellflower, CA, 90706","Match","Exact","9710 ARTESIA BLVD, BELLFLOWER, CA, 90706","-118.12701,33.874817","142817317","R"
"Claremont Care Center","219 E Foothill Blvd, Pomona, CA, 91768","No_Match"
"Kei-Ai Los Angeles Healthcare Center","2221 Lincoln Park Ave, Los Angeles, CA, 90031","Match","Exact","2221 LINCOLN PARK AVE, LOS ANGELES, CA, 90031","-118.20249,34.070827","142255998","L"
"Windsor Gardens Convalescent Center of Hawthorne","13922 Cerise Ave, Hawthorne, CA, 90250","Match","Exact","13922 CERISE AVE, HAWTHORNE, CA, 90250","-118.33299,33.904774","241242790","L"
"Corbin Congregate Home, Inc","9909 Bothwell Rd, Northridge, CA, 91324","Match","Exact","9909 BOTHWELL RD, NORTHRIDGE, CA, 91324","-118.56161,34.25092","141540069","L"
