"Activity Date","Name","Address","City","Description"
04/22/2021,"LA BOCCA FELICE","301 W 6TH ST","SAN PEDRO","RESTAURANT (61-150) SEATS HIGH RISK"
04/22/2021,"GOLD'S GYM","6000 SEPULVEDA BLVD 1200 ","CULVER CITY","GYMS AND FITNESS CENTERS (NO POOL)"
04/22/2021,"THE NICKEL MINE","11363 SANTA MONICA BLVD","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
04/22/2021,"LUNAS SPORTS BAR","6483 FLORENCE AVE","BELL GARDENS","RESTAURANT (0-30) SEATS LOW RISK"
04/22/2021,"SLIM BODY FITNESS","9709 LURLINE ","CHATSWORTH","GYMS AND FITNESS CENTERS (NO POOL)"
04/21/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
04/21/2021,"NORM'S RESTAURANT","2500 E SLAUSON AVE","HUNTINGTON PARK","RESTAURANT (61-150) SEATS HIGH RISK"
04/20/2021,"CHAMPION COLLISION CENTER","8628 DARBY AVE ","NORTHRIDGE","LIMITED SERVICES"
04/20/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/20/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
04/19/2021,"THE BIKE CONNECTION","13711 VENTURA BLVD ","SHERMAN OAKS","RETAIL SALES"
04/19/2021,"ELLIS HOTEL","802 E 6TH ST ","LOS ANGELES","HOTEL (51-100) ROOMS"
04/18/2021,"TEMROSE LOUNGE              ","9612 LOWER AZUSA RD ","TEMPLE CITY","RESTAURANT (0-30) SEATS LOW RISK"
04/18/2021,"AMERICAN LEGION POST 341","4909 S DURFEE AVE ","PICO RIVERA","RESTAURANT (31-60) SEATS LOW RISK"
04/17/2021,"RED PALACE #2","18868 NORWALK BLVD","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK"
04/16/2021,"SECURITY INDUSTRIES SPECIALISTS INC.","6071 BRISTOL PKWY ","CULVER CITY","OFFICE SITES"
04/16/2021,"SALON JUAREZ","3042 TWEEDY BLVD ","SOUTH GATE","RESTAURANT (0-30) SEATS LOW RISK"
04/16/2021,"SUMO ASIAN GRILL BUFFET","21610 VICTORY BLVD","WOODLAND HILLS","RESTAURANT (151 + ) SEATS HIGH RISK"
04/16/2021,"AMERICAN LEGION POST 134","7550 E SOMERSET BLVD ","PARAMOUNT","RESTAURANT (61-150) SEATS LOW RISK"
04/16/2021,"TACO STAND","1338 S GAREY AVE ","POMONA","STREET VENDING"
04/16/2021,"GUADALAJARA GRILL           ","14610 BALDWIN PARK TOWNE CTR ","BALDWIN PARK","RESTAURANT (151 + ) SEATS HIGH RISK"
04/15/2021,"PALSAIK KOREAN BBQ","22757 HAWTHORNE BLVD","TORRANCE","RESTAURANT (0-30) SEATS HIGH RISK"
04/15/2021,"DELTA AIR LINES","1 WORLD WAY WAY ","LOS ANGELES","OFFICE SITES"
04/15/2021,"GOLD'S GYM","6000 SEPULVEDA BLVD 1200 ","CULVER CITY","GYMS AND FITNESS CENTERS (NO POOL)"
04/15/2021,"LONDON GASTROPUB            ","419 S MYRTLE AVE ","MONROVIA","RESTAURANT (31-60) SEATS HIGH RISK"
04/15/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
04/15/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/14/2021,"ELLIS HOTEL","802 E 6TH ST ","LOS ANGELES","HOTEL (51-100) ROOMS"
04/14/2021,"EL CAMINO CLUB              ","7701 S SANTA FE AVE ","HUNTINGTON PARK","RESTAURANT (0-30) SEATS LOW RISK"
04/14/2021,"CARUSO'S ITALIAN KITCHEN","10152 BALBOA BLVD","GRANADA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/14/2021,"BRICKS RESTAURANT & SPORTS BAR","3626 FRUITLAND AVE","MAYWOOD","RESTAURANT (61-150) SEATS HIGH RISK"
04/14/2021,"GREEN TREE MASSAGE SPA","8668 LINDLEY AVE ","NORTHRIDGE","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
04/13/2021,"OPTUM","19191 S VERMONT AVE ","TORRANCE","OFFICE SITES"
04/13/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
04/13/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/12/2021,"IHOP                        ","15635 VENTURA BLVD ","ENCINO","RESTAURANT (61-150) SEATS HIGH RISK"
04/12/2021,"MARTA BAKERY                ","14103 VICTORY BLVD STE #9","VAN NUYS","RESTAURANT (0-30) SEATS MODERATE RISK"
04/12/2021,"JEAN JACQUES MACHADO BRAZILIAN JIU-JITSU","18730 OXNARD #201 ST ","TARZANA","GYMS AND FITNESS CENTERS (NO POOL)"
04/12/2021,"THE HOME DEPOT #6617          ","1305 S LONE HILL AVE","GLENDORA","FOOD MKT RETAIL (1-1,999 SF) LOW RISK"
04/11/2021,"ROCKS COCKTAIL LOUNGE","10919 E ALONDRA BLVD ","NORWALK","RESTAURANT (61-150) SEATS LOW RISK"
04/11/2021,"EL PALMAR PIANO BAR COCKTAIL","5143 E GAGE AVE","BELL","RESTAURANT (0-30) SEATS LOW RISK"
04/10/2021,"THE LINCOLN","2536 LINCOLN","VENICE","RESTAURANT (61-150) SEATS LOW RISK"
04/10/2021,"TACOS EL MORA","0 PEARBLOSSOM HWY ","PALMDALE","STREET VENDING"
04/10/2021,"CULICHI TOWN - BELL","6638 ATLANTIC BLVD","BELL","RESTAURANT (151 + ) SEATS HIGH RISK"
04/10/2021,"TACOS EMMANUEL","0 PEARBLOSSOM HWY ","PALMDALE","STREET VENDING"
04/09/2021,"TONCHINKAN","713 W DUARTE # H","ARCADIA","RESTAURANT (0-30) SEATS HIGH RISK"
04/09/2021,"ENCORE TEPPAN","23525 E PALOMINO DR","DIAMOND BAR","RESTAURANT (61-150) SEATS HIGH RISK"
04/09/2021,"ANJAPPAR CHETTINAD ARTESIA","18128 PIONEER BLVD","ARTESIA","RESTAURANT (151 + ) SEATS HIGH RISK"
04/09/2021,"SNAP FITNESS SANTA CLARITA","19233 GOLDEN VALLEY RD ","SANTA CLARITA","GYMS AND FITNESS CENTERS (NO POOL)"
04/09/2021,"DONNA'S COCKTAILS","15121 S WESTERN AVE","GARDENA","RESTAURANT (31-60) SEATS MODERATE RISK"
04/09/2021,"ENRICH FIT GYM , PMA","2422 W VICTORY BLVD ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
04/09/2021,"GEN KOREAN BBQ","24301 CRENSHAW BLVD","TORRANCE","RESTAURANT (61-150) SEATS HIGH RISK"
04/09/2021,"EL BARRIL","16005 AMAR RD STE 7","LA PUENTE","RESTAURANT (0-30) SEATS LOW RISK"
04/08/2021,"NOODLE ST","400 S BALDWIN AVE # M10","ARCADIA","RESTAURANT (31-60) SEATS HIGH RISK"
04/08/2021,"POWERHOUSE GYM","22715 HAWTHORNE BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
04/08/2021,"KELLER WILLIAMS REALTY ENCINO- SHERMAN OAKS","16820 VENTURA BLVD ","ENCINO","OFFICE SITES"
04/08/2021,"FOGO DE CHAO                ","133 N LA CIENEGA BLVD ","BEVERLY HILLS","RESTAURANT (151 + ) SEATS HIGH RISK"
04/08/2021,"SHOGUN RESTAURANT","2123 FOOTHILL BLVD B-4","LA VERNE","RESTAURANT (151 + ) SEATS HIGH RISK"
04/08/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/08/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
04/07/2021,"EL MARIACHI BAR & GRILL       ","15627 VENTURA BLVD ","ENCINO","RESTAURANT (61-150) SEATS HIGH RISK"
04/07/2021,"TACOS EL SUPERIOR","41520 10TH ST WEST ","PALMDALE","CONSUMER FOOD"
04/06/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
04/06/2021,"KNOCKOUTS BOXING GYM","9201 CALIFORNIA AVE A ","SOUTH GATE","GYMS AND FITNESS CENTERS (NO POOL)"
04/06/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/06/2021,"LA SEXY MICHELADA","7051 GREENLEAF AVE","WHITTIER","RESTAURANT (61-150) SEATS HIGH RISK"
04/05/2021,"BUFFALO WILD WINGS            ","7060 HOLLYWOOD BLVD # #110","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK"
04/05/2021,"FRENCH BISTRO                 ","1216 1/2 S SANTEE ST ","LOS ANGELES","RESTAURANT (0-30) SEATS MODERATE RISK"
04/05/2021,"SHIFT SOUTH BAY","22216 PALOS VERDES BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
04/02/2021,"EIGHT KOREAN BBQ","863 S WESTERN AVE ","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
04/02/2021,"GEN KOREAN BBQ HOUSE WEST COVINA","300 S CALIFORNIA AVE","WEST COVINA","RESTAURANT (61-150) SEATS HIGH RISK"
04/02/2021,"VENICE WHALER","10 WASHINGTON BLVD","MARINA DEL REY","RESTAURANT (151 + ) SEATS HIGH RISK"
04/02/2021,"SHORT STOP SEAFOOD BAR        ","9322 VALLEY BLVD","ROSEMEAD","RESTAURANT (31-60) SEATS LOW RISK"
04/02/2021,"MAPO GALMAEGI BBQ","3460 W 8TH ST","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
04/02/2021,"SPEARMINT RHINO","15411 E VALLEY BLVD ","LA PUENTE","RESTAURANT (151 + ) SEATS LOW RISK"
04/02/2021,"COMPREHENSIVE CARE MANAGEMENT","20944 SHERMAN ","CANOGA PARK","OFFICE SITES"
04/01/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
04/01/2021,"CAFE SOLE","1929 W VERDUGO BLVD STE #D","LA CANADA FLINTRIDGE","RESTAURANT (31-60) SEATS HIGH RISK"
04/01/2021,"POWERHOUSE GYM","22715 HAWTHORNE BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
04/01/2021,"MR. SCISSORS","14458 VENTURA BLVD ","SHERMAN OAKS","HAIR SALONS/ BARBERSHOPS"
04/01/2021,"THE CANYON CLUB","24201 W VALENCIA BLVD # 1351","VALENCIA","RESTAURANT (151 + ) SEATS HIGH RISK"
04/01/2021,"NORTHSHORE BURGERS            ","1929 VERDUGO BLVD STE B","LA CANADA FLINTRIDGE","RESTAURANT (61-150) SEATS HIGH RISK"
04/01/2021,"VICKY HAIR DESIGN","6106 RESEDA BLVD ","TARZANA","HAIR SALONS/ BARBERSHOPS"
04/01/2021,"PROPTA PERSONAL TRAINER ASSOCIATION/FLEX GYM","20971 WARNER CENTER LN ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
04/01/2021,"OO KOOK BBQ","5405 ROSEMEAD BLVD","SAN GABRIEL","RESTAURANT (151 + ) SEATS HIGH RISK"
04/01/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/01/2021,"CORNER KITCHEN #1","6540 PACIFIC BLVD ","HUNTINGTON PARK","RESTAURANT (0-30) SEATS HIGH RISK"
03/31/2021,"ST. JOSEPH HIGH SCHOOL","5825 WOODRUFF AVE ","LAKEWOOD","PUBLIC / PRIVATE SCHOOLS"
03/31/2021,"TEMPO CANTINA","12056 PARAMOUNT BLVD","DOWNEY","RESTAURANT (61-150) SEATS HIGH RISK"
03/31/2021,"SUPERNOVA COMEDY","1716 WHITLEY AVE ","LOS ANGELES","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
03/31/2021,"NO PROGRAM IDENTIFIER","4540 DEMPSEY AVE ","ENCINO","UNREGULATED FACILITY (COVID-19 HOO)"
03/31/2021,"DEL RIO LANES","7502 FLORENCE AVE ","DOWNEY","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
03/31/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
03/31/2021,"BUFFALO WILD WINGS","3150 WILSHIRE BLVD","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
03/30/2021,"BUFFALO WILD WINGS #457","15301 VENTURA BLVD P16","SHERMAN OAKS","RESTAURANT (151 + ) SEATS HIGH RISK"
03/30/2021,"ENRICH FIT GYM , PMA","2422 W VICTORY BLVD ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
03/30/2021,"FISH OFF THE GRILL","12824 HADLEY ST 110","WHITTIER","RESTAURANT (31-60) SEATS HIGH RISK"
03/30/2021,"ZOO CULTURE","6455 DE SOTO AVE ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
03/30/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
03/30/2021,"DELTA AIR LINES","1 WORLD WAY WAY ","LOS ANGELES","OFFICE SITES"
03/30/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/28/2021,"KALAVERAS","16530 BELLFLOWER BLVD","BELLFLOWER","RESTAURANT (151 + ) SEATS HIGH RISK"
03/27/2021,"MIKAZA","542 S BROADWAY ST","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK"
03/27/2021,"RED PALACE","19105 BLOOMFIELD AVE","CERRITOS","RESTAURANT (31-60) SEATS HIGH RISK"
03/26/2021,"ARTISTIC COVERINGS","14135 ARTESIA BLVD ","CERRITOS","WAREHOUSE, MANUFACTURING, LOGISTICS (NON-REG)"
03/26/2021,"TORRANCE BREW YARD","19606 NORMANDIE AVE","TORRANCE","RESTAURANT (31-60) SEATS MODERATE RISK"
03/26/2021,"POPSALOT","7723 SOMERSET BLVD","PARAMOUNT","FOOD PROCESSING LOW RISK"
03/26/2021,"EL TENAMPA BAR","2645 MOUNTAIN VIEW RD","EL MONTE","RESTAURANT (0-30) SEATS LOW RISK"
03/26/2021,"THE CORNER BAR @352","13126 HAWTHORNE BLVD","HAWTHORNE","RESTAURANT (31-60) SEATS LOW RISK"
03/26/2021,"WALLY'S VINOTECA","447 N CANON DR","BEVERLY HILLS","RESTAURANT (151 + ) SEATS HIGH RISK"
03/26/2021,"BUFFALO WILD WINGS #500","9301 TAMPA AVE","NORTHRIDGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/26/2021,"SUNNY'S SALOON                ","20922 LASSEN ST ","CHATSWORTH","RESTAURANT (0-30) SEATS MODERATE RISK"
03/25/2021,"DEL RIO LANES","7502 FLORENCE AVE ","DOWNEY","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
03/25/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
03/25/2021,"SNAP FITNESS SANTA CLARITA","19233 GOLDEN VALLEY RD ","SANTA CLARITA","GYMS AND FITNESS CENTERS (NO POOL)"
03/25/2021,"THE CANYON CLUB","24201 W VALENCIA BLVD # 1351","VALENCIA","RESTAURANT (151 + ) SEATS HIGH RISK"
03/25/2021,"SHABUYA","1925 W OLYMPIC BLVD","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK"
03/25/2021,"THE GREATEST                  ","13766 S INGLEWOOD AVE ","HAWTHORNE","RESTAURANT (0-30) SEATS LOW RISK"
03/25/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/24/2021,"EMMANUEL KOSHER CATERING INC","7437 SCOUT AVE","BELL GARDENS","MOBILE FOOD FACILITY - TRUCK HIGH RISK"
03/24/2021,"THE CHEESECAKE FACTORY        ","15301 VENTURA BLVD STE P-1","SHERMAN OAKS","RESTAURANT (151 + ) SEATS HIGH RISK"
03/24/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
03/24/2021,"MADHOUSE GAINS ASYLUM","4901 PATATA ST SUITE #108 ","CUDAHY","GYMS AND FITNESS CENTERS (NO POOL)"
03/24/2021,"LIGHTHOUSE SPORTS CENTER","14208 MULBERRY ","WHITTIER","GYMS AND FITNESS CENTERS (NO POOL)"
03/23/2021,"SWEET 7 KIOSK","400 S BALDWIN AVE # 9001","ARCADIA","RESTAURANT (0-30) SEATS LOW RISK"
03/23/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/23/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
03/23/2021,"ZOO CULTURE","6455 DE SOTO AVE ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
03/22/2021,"SANTA CLARITA CHRISTIAN SCHOOL","27249 LUTHER DR. ","SANTA CLARITA","PUBLIC / PRIVATE SCHOOLS"
03/22/2021,"LONE STAR ALARM MONITORING","321 N MACLAY AVE STE D ","SAN FERNANDO","UNREGULATED FACILITY (COVID-19 HOO)"
03/20/2021,"LATIN SKULLS","5036 PASSONS BLVD STE 5","PICO RIVERA","BODY ART FACILITY 4+ PRACTITIONERS"
03/19/2021,"VICKY HAIR DESIGN","6106 RESEDA BLVD ","TARZANA","HAIR SALONS/ BARBERSHOPS"
03/19/2021,"EL PARAISO BAR","10474 VALLEY BLVD","EL MONTE","RESTAURANT (0-30) SEATS LOW RISK"
03/19/2021,"FLYIN FIN SUSHI AND SEAFOOD","1727 S CATALINA AVE","REDONDO BEACH","RESTAURANT (31-60) SEATS HIGH RISK"
03/18/2021,"D'VINE KARAOKE LOUNGE & RESTAURANT","2650 E GARVEY AVE S","WEST COVINA","RESTAURANT (61-150) SEATS HIGH RISK"
03/18/2021,"YAMASHIRO","1999 N SYCAMORE AVE","LOS ANGELES","RESTAURANT (151 + ) SEATS LOW RISK"
03/18/2021,"BACK DOOR                   ","1250 E MISSION BLVD ","POMONA","RESTAURANT (0-30) SEATS LOW RISK"
03/18/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
03/18/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/17/2021,"NO PROGRAM IDENTIFIER","5544 WHITTIER BLVD ","COMMERCE","STREET VENDING"
03/17/2021,"FLORAFLEX","9411 WINNETKA AVE ","CHATSWORTH","OFFICE SITES"
03/17/2021,"CASTAWAY                    ","1250 E HARVARD RD ","BURBANK","RESTAURANT (151 + ) SEATS HIGH RISK"
03/16/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
03/16/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/14/2021,"LA CAR WRAP","5288 VALLEY BLVD 1 ","LOS ANGELES","RETAIL SALES"
03/13/2021,"GEN KOREAN BBQ HOUSE","10151 RESEDA BLVD","NORTHRIDGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/13/2021,"ENGINE CO #28","644 S FIGUEROA ST ","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
03/13/2021,"WATER GRILL SUSHI","1401 OCEAN AVE","SANTA MONICA","RESTAURANT (151 + ) SEATS HIGH RISK"
03/12/2021,"900 MANHATTAN               ","900 MANHATTAN AVE ","MANHATTAN BEACH","RESTAURANT (61-150) SEATS HIGH RISK"
03/12/2021,"HAYAT KITCHEN","11009 BURBANK BLVD STE #117","NORTH HOLLYWOOD","RESTAURANT (31-60) SEATS HIGH RISK"
03/12/2021,"MOTIVATE ALAGREE FITNESS STUDIO","27674 NEWHALL RANCH RD UNIT 1 ","VALENCIA","GYMS AND FITNESS CENTERS (NO POOL)"
03/12/2021,"ANYTIME FITNESS","2217 HUNTINGTON DR ","DUARTE","GYMS AND FITNESS CENTERS (NO POOL)"
03/12/2021,"ANYTIME FITNESS ARCADIA","9 E FOOTHILL BLVD ","ARCADIA","GYMS AND FITNESS CENTERS (NO POOL)"
03/12/2021,"LAKEWOOD FAMILY BILLIARDS","4125 PARAMOUNT BLVD ","LAKEWOOD","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
03/12/2021,"NO PROGRAM IDENTIFIER","5544 WHITTER BLVD ","COMMERCE","STREET VENDING"
03/12/2021,"AFTERBURN FITNESS","26007 AVE HALL ","VALENCIA","GYMS AND FITNESS CENTERS (NO POOL)"
03/11/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
03/11/2021,"LA COCINA BAR AND GRILL","19915 GOLDEN VALLEY RD","SANTA CLARITA","RESTAURANT (31-60) SEATS HIGH RISK"
03/11/2021,"LUCKY'S MALIBU","3835 CROSS CREEK RD # 18","MALIBU","RESTAURANT (61-150) SEATS HIGH RISK"
03/11/2021,"MR D'S DINER","919 FOOTHILL AVE","LA VERNE","RESTAURANT (61-150) SEATS HIGH RISK"
03/11/2021,"DAVE'S HOT CHICKEN","5166 LANKERSHIM BLVD STE D","NORTH HOLLYWOOD","RESTAURANT (61-150) SEATS HIGH RISK"
03/11/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
03/11/2021,"THE CARDIO GRIND","18529 BURBANK BLVD ","TARZANA","GYMS AND FITNESS CENTERS (NO POOL)"
03/11/2021,"GOLD'S GYM","24445 TOWN CENTER DRIVE STE 195 ","VALENCIA","GYMS AND FITNESS CENTERS (NO POOL)"
03/11/2021,"USA FITNESS (NEW DBA - SPEAKEASY FITNESS)","7869 VAN NUYS BLVD ","PANORAMA CITY","GYMS AND FITNESS CENTERS (NO POOL)"
03/11/2021,"PROPTA PERSONAL TRAINER ASSOCIATION/FLEX GYM","20971 WARNER CENTER LN ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
03/10/2021,"FLY HIGH","737 E ALTADENA AVE","ALTADENA","UNREGULATED FACILITY (COVID-19 HOO)"
